season,week,player,historicalRank,easyCode,easyScore,hardCode,hardScore,total,placement,divisionPlacement,points,sourcePlayerId,easyRoundId,hardRoundId,discordId
8,11,leanin2it,ELITE,RCE,-22,RCH,-18,-40,1,1,25,6950,53452,53456,
8,11,El Jorge,ELITE,RCE,-18,RCH,-16,-34,2,2,21,24,53393,53395,
8,11,BUBBAFRAME,SEMI,RCE,-18,RCH,-15,-33,3,1,18,7609,53430,53431,
8,11,INDY,ELITE,RCE,-19,RCH,-14,-33,3,3,18,22,53394,53396,
8,11,YUK1N,ELITE,RCE,-23,RCH,-10,-33,3,3,18,31,53424,53426,
8,11,Zanetti,ELITE,RCE,-23,RCH,-10,-33,3,3,18,28,53397,53400,
8,11,TrickyDicky,PRO,RCE,-24,RCH,-7,-31,7,1,13,59,53417,53420,
8,11,bigja33,ELITE,RCE,-17,RCH,-13,-30,8,6,12,4305,53361,53364,
8,11,deebee,PRO,RCE,-19,RCH,-11,-30,8,2,12,65,53398,53401,
8,11,yankeedude1123,ELITE,RCE,-18,RCH,-11,-29,10,7,10,4927,53438,53442,
8,11,Derby_Daz,ELITE,RCE,-18,RCH,-10,-28,11,8,9,54,53399,53402,
8,11,Princess_Bankshot,ELITE,RCE,-16,RCH,-12,-28,11,8,9,4945,53415,53418,
8,11,Ⲋⲧⲓⲥⲕⲩ,PRO,RCE,-18,RCH,-10,-28,11,3,9,8048,53434,53435,
8,11,ARTSY,SEMI,RCE,-15,RCH,-10,-25,14,2,9,7610,53446,53448,
8,11,Neo Impossible,ELITE,RCE,-16,RCH,-9,-25,14,10,9,1205,53463,53467,
8,11,KCRob,PRO,RCE,-17,RCH,-7,-24,16,4,9,49,53385,53389,
8,11,l7jazz,PRO,RCE,-14,RCH,-10,-24,16,4,9,7908,53353,53356,
8,11,KnockoutG 🥊,PRO,RCE,-15,RCH,-8,-23,18,6,8,3237,53437,53441,
8,11,Gobson,ELITE,RCE,-17,RCH,-5,-22,19,11,8,4645,53429,53432,
8,11,GripRip,SEMI,RCE,-16,RCH,-6,-22,19,3,8,7328,53366,53370,
8,11,sarahloo1971,PRO,RCE,-17,RCH,-4,-21,21,7,8,63,53365,53369,
8,11,TIGERHOODS,PRO,RCE,-13,RCH,-7,-20,22,8,7,60,53386,53390,
8,11,Mully,ELITE,RCE,-16,RCH,-2,-18,23,12,7,88,53387,53391,
8,11,D3bb13,PRO,RCE,-7,RCH,-10,-17,24,9,7,72,53427,53428,
8,11,DMD-Enditnow,SEMI,RCE,-12,RCH,-5,-17,24,4,7,7175,53439,53443,
8,11,freitag68,AMA,RCE,-15,RCH,-2,-17,24,1,7,2505,53404,53408,
8,11,stewiestewie,PRO,RCE,-16,RCH,-1,-17,24,9,7,36,53416,53419,
8,11,plucky✌,PRO,RCE,-12,RCH,-3,-15,28,11,6,1108,53457,53458,
8,11,Alyssa38,SEMI,RCE,-12,RCH,-2,-14,29,5,6,7184,53368,53372,
8,11,Spicy - DawnSophia,ELITE,RCE,-14,RCH,0,-14,29,13,6,7165,53451,53455,
8,11,Laurent🇧🇪,PRO,RCE,-14,RCH,1,-13,31,12,6,4186,53354,53357,
8,11,Maximus,ELITE,RCE,-16,RCH,3,-13,31,14,6,7177,53360,53363,
8,11,Sandtrap,AMA,RCE,-9,RCH,-4,-13,31,2,6,7167,53382,53384,
8,11,StevieWonderful,AMA,RCE,-15,RCH,2,-13,31,2,6,7428,53355,53358,
8,11,Shooter_McGavin,ELITE,RCE,-14,RCH,2,-12,35,15,5,8648,53433,53436,
8,11,SQUEEZY_JIBBZ,PRO,RCE,-14,RCH,2,-12,35,13,5,46,53465,53469,
8,11,Chelle💯,SEMI,RCE,-7,RCH,-2,-9,37,6,5,7186,53460,53462,
