period	period_id	division	division_id	source_player_id	source_player_name	course	score_text	score_numeric	played_state	placement	hn1	points	raw_json_sha256
2025 December	301	Amateur 1	26	230	Earthling	Myst	-22	-22	True	1	2	202	8A9BFBCC3CF598771A80092F8914054789E67096AD14B2C1B9397DE862A38DFE
2025 December	301	Amateur 1	26	7552	IMJOMAMA	Myst	-13	-13	True	2	1	191	8A9BFBCC3CF598771A80092F8914054789E67096AD14B2C1B9397DE862A38DFE
2025 December	301	Amateur 1	26	8748	RICK	Myst	-10	-10	True	3	2	182	8A9BFBCC3CF598771A80092F8914054789E67096AD14B2C1B9397DE862A38DFE
2025 December	301	Amateur 1	26	8489	Sarahlynn727	Myst			False				8A9BFBCC3CF598771A80092F8914054789E67096AD14B2C1B9397DE862A38DFE
2025 December	301	Amateur 1	26	7552	IMJOMAMA	Myst Hard	-8	-8	True	1	1	201	8A9BFBCC3CF598771A80092F8914054789E67096AD14B2C1B9397DE862A38DFE
2025 December	301	Amateur 1	26	8748	RICK	Myst Hard	-7	-7	True	2	1	191	8A9BFBCC3CF598771A80092F8914054789E67096AD14B2C1B9397DE862A38DFE
2025 December	301	Amateur 1	26	230	Earthling	Myst Hard	4	4	True	3	0	180	8A9BFBCC3CF598771A80092F8914054789E67096AD14B2C1B9397DE862A38DFE
2025 December	301	Amateur 1	26	8489	Sarahlynn727	Myst Hard			False				8A9BFBCC3CF598771A80092F8914054789E67096AD14B2C1B9397DE862A38DFE
2025 December	301	Amateur 1	26	8489	Sarahlynn727	Shangri-La	-20	-20	True	1	4	204	8A9BFBCC3CF598771A80092F8914054789E67096AD14B2C1B9397DE862A38DFE
2025 December	301	Amateur 1	26	7552	IMJOMAMA	Shangri-La	-16	-16	True	2	3	193	8A9BFBCC3CF598771A80092F8914054789E67096AD14B2C1B9397DE862A38DFE
2025 December	301	Amateur 1	26	8748	RICK	Shangri-La	-16	-16	True	3	1	181	8A9BFBCC3CF598771A80092F8914054789E67096AD14B2C1B9397DE862A38DFE
2025 December	301	Amateur 1	26	230	Earthling	Shangri-La			False				8A9BFBCC3CF598771A80092F8914054789E67096AD14B2C1B9397DE862A38DFE
2025 December	301	Amateur 1	26	7552	IMJOMAMA	Shangri-La - Hard	-5	-5	True	1	0	200	8A9BFBCC3CF598771A80092F8914054789E67096AD14B2C1B9397DE862A38DFE
2025 December	301	Amateur 1	26	8748	RICK	Shangri-La - Hard	6	6	True	2	0	190	8A9BFBCC3CF598771A80092F8914054789E67096AD14B2C1B9397DE862A38DFE
2025 December	301	Amateur 1	26	8489	Sarahlynn727	Shangri-La - Hard			False				8A9BFBCC3CF598771A80092F8914054789E67096AD14B2C1B9397DE862A38DFE
2025 December	301	Amateur 1	26	230	Earthling	Shangri-La - Hard			False				8A9BFBCC3CF598771A80092F8914054789E67096AD14B2C1B9397DE862A38DFE
2025 December	301	Amateur 1	26	230	Earthling	Venice	-15	-15	True	1	0	200	8A9BFBCC3CF598771A80092F8914054789E67096AD14B2C1B9397DE862A38DFE
2025 December	301	Amateur 1	26	7552	IMJOMAMA	Venice	-4	-4	True	2	0	190	8A9BFBCC3CF598771A80092F8914054789E67096AD14B2C1B9397DE862A38DFE
2025 December	301	Amateur 1	26	8748	RICK	Venice	-4	-4	True	2	0	190	8A9BFBCC3CF598771A80092F8914054789E67096AD14B2C1B9397DE862A38DFE
2025 December	301	Amateur 1	26	8489	Sarahlynn727	Venice			False				8A9BFBCC3CF598771A80092F8914054789E67096AD14B2C1B9397DE862A38DFE
