"period"	"period_id"	"division"	"division_id"	"source_player_id"	"source_player_name"	"course"	"score_text"	"score_numeric"	"played_state"	"placement"	"hn1"	"points"	"raw_json_sha256"
"2024 August"	"54"	"Amateur 2"	"27"	"7186"	"Chelle💯"	"Gardens of Babylon"	"-16"	"-16"	"PLAYED"	""	"1"	"201"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7388"	"FROGMAN"	"Gardens of Babylon"	"-15"	"-15"	"PLAYED"	""	"2"	"192"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"129"	"Sj_76"	"Gardens of Babylon"	"-15"	"-15"	"PLAYED"	""	"1"	"181"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7327"	"MOENSHINER"	"Gardens of Babylon"	"-14"	"-14"	"PLAYED"	""	"1"	"171"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7229"	"Ultrafox_Lynne"	"Gardens of Babylon"	"-13"	"-13"	"PLAYED"	""	"2"	"162"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7167"	"Sandtrap"	"Gardens of Babylon"	"-13"	"-13"	"PLAYED"	""	"1"	"151"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7182"	"RUBBERDUCK"	"Gardens of Babylon"	"-12"	"-12"	"PLAYED"	""	"2"	"142"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7173"	"KillERBee"	"Gardens of Babylon"	"-5"	"-5"	"PLAYED"	""	"2"	"132"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"129"	"Sj_76"	"Gardens of Babylon Hard"	"-15"	"-15"	"PLAYED"	""	"1"	"201"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7173"	"KillERBee"	"Gardens of Babylon Hard"	"-9"	"-9"	"PLAYED"	""	"2"	"192"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7229"	"Ultrafox_Lynne"	"Gardens of Babylon Hard"	"-6"	"-6"	"PLAYED"	""	"1"	"181"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7186"	"Chelle💯"	"Gardens of Babylon Hard"	"-3"	"-3"	"PLAYED"	""	"0"	"170"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7167"	"Sandtrap"	"Gardens of Babylon Hard"	"-3"	"-3"	"PLAYED"	""	"0"	"170"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7327"	"MOENSHINER"	"Gardens of Babylon Hard"	"2"	"2"	"PLAYED"	""	"1"	"151"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7182"	"RUBBERDUCK"	"Gardens of Babylon Hard"	"8"	"8"	"PLAYED"	""	"1"	"141"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7186"	"Chelle💯"	"20,000 Leagues Under The Sea"	"-18"	"-18"	"PLAYED"	""	"2"	"202"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7167"	"Sandtrap"	"20,000 Leagues Under The Sea"	"-17"	"-17"	"PLAYED"	""	"0"	"190"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7229"	"Ultrafox_Lynne"	"20,000 Leagues Under The Sea"	"-13"	"-13"	"PLAYED"	""	"0"	"180"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7327"	"MOENSHINER"	"20,000 Leagues Under The Sea"	"-13"	"-13"	"PLAYED"	""	"0"	"180"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7388"	"FROGMAN"	"20,000 Leagues Under The Sea"	"-12"	"-12"	"PLAYED"	""	"2"	"162"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"129"	"Sj_76"	"20,000 Leagues Under The Sea"	"-12"	"-12"	"PLAYED"	""	"1"	"151"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7173"	"KillERBee"	"20,000 Leagues Under The Sea"	"-12"	"-12"	"PLAYED"	""	"1"	"151"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"129"	"Sj_76"	"20,000 Leagues Hard"	"-13"	"-13"	"PLAYED"	""	"1"	"201"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7229"	"Ultrafox_Lynne"	"20,000 Leagues Hard"	"-11"	"-11"	"PLAYED"	""	"0"	"190"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7186"	"Chelle💯"	"20,000 Leagues Hard"	"-10"	"-10"	"PLAYED"	""	"1"	"181"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7173"	"KillERBee"	"20,000 Leagues Hard"	"-6"	"-6"	"PLAYED"	""	"0"	"170"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7167"	"Sandtrap"	"20,000 Leagues Hard"	"-5"	"-5"	"PLAYED"	""	"0"	"160"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7388"	"FROGMAN"	"20,000 Leagues Hard"	"0"	"0"	"PLAYED"	""	"0"	"150"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7186"	"Chelle💯"	"Widow’s Walkabout"	"-18"	"-18"	"PLAYED"	""	"2"	"202"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7229"	"Ultrafox_Lynne"	"Widow’s Walkabout"	"-15"	"-15"	"PLAYED"	""	"2"	"192"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"129"	"Sj_76"	"Widow’s Walkabout"	"-15"	"-15"	"PLAYED"	""	"1"	"181"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7167"	"Sandtrap"	"Widow’s Walkabout"	"-14"	"-14"	"PLAYED"	""	"1"	"171"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7327"	"MOENSHINER"	"Widow’s Walkabout"	"-10"	"-10"	"PLAYED"	""	"2"	"162"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7173"	"KillERBee"	"Widow’s Walkabout"	"-9"	"-9"	"PLAYED"	""	"2"	"152"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7167"	"Sandtrap"	"Widow’s Walkabout - Hard"	"-12"	"-12"	"PLAYED"	""	"0"	"200"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7186"	"Chelle💯"	"Widow’s Walkabout - Hard"	"-8"	"-8"	"PLAYED"	""	"0"	"190"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7388"	"FROGMAN"	"Widow’s Walkabout - Hard"	"-5"	"-5"	"PLAYED"	""	"1"	"181"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7327"	"MOENSHINER"	"Widow’s Walkabout - Hard"	"-5"	"-5"	"PLAYED"	""	"0"	"170"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"129"	"Sj_76"	"Widow’s Walkabout - Hard"	"-3"	"-3"	"PLAYED"	""	"0"	"160"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7229"	"Ultrafox_Lynne"	"Widow’s Walkabout - Hard"	"-1"	"-1"	"PLAYED"	""	"0"	"150"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7173"	"KillERBee"	"Widow’s Walkabout - Hard"	"2"	"2"	"PLAYED"	""	"0"	"140"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7388"	"FROGMAN"	"Wallace & Gromit"	"-21"	"-21"	"PLAYED"	""	"6"	"206"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7167"	"Sandtrap"	"Wallace & Gromit"	"-18"	"-18"	"PLAYED"	""	"6"	"196"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7186"	"Chelle💯"	"Wallace & Gromit"	"-18"	"-18"	"PLAYED"	""	"5"	"185"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"129"	"Sj_76"	"Wallace & Gromit"	"-17"	"-17"	"PLAYED"	""	"5"	"175"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7173"	"KillERBee"	"Wallace & Gromit"	"-15"	"-15"	"PLAYED"	""	"6"	"166"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7229"	"Ultrafox_Lynne"	"Wallace & Gromit"	"-15"	"-15"	"PLAYED"	""	"3"	"153"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7327"	"MOENSHINER"	"Wallace & Gromit"	"-14"	"-14"	"PLAYED"	""	"3"	"143"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7167"	"Sandtrap"	"Wallace & Gromit - Hard"	"-10"	"-10"	"PLAYED"	""	"1"	"201"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7186"	"Chelle💯"	"Wallace & Gromit - Hard"	"-6"	"-6"	"PLAYED"	""	"2"	"192"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
"2024 August"	"54"	"Amateur 2"	"27"	"7388"	"FROGMAN"	"Wallace & Gromit - Hard"	"-6"	"-6"	"PLAYED"	""	"1"	"181"	"857496BE4F9BD2F97C7F5CD14C3F9528E2E66FC54F949ABA21A1A80181606865"
