period	period_id	division_records
2026 July	441	Master:21:10:8:80:80:0:0:1|Elite:22:10:8:80:70:10:0:1|Pro 1:23:9:8:72:72:0:0:1|Pro 2:24:10:8:80:56:24:0:1|Pro 3:25:10:8:80:54:26:0:1|Semi Pro 1:113:7:8:56:51:5:0:1|Beginner:81:0:0:0:0:0:0:1|Welcome:62:4:0:0:0:0:0:1
2026 June	421	Master:21:10:8:80:74:6:0:1|Elite:22:10:8:80:77:3:0:1|Pro 1:23:10:8:80:72:8:0:1|Pro 2:24:7:8:56:40:16:0:1|Pro 3:25:7:8:56:26:30:0:1|Semi Pro 1:113:10:1:6:5:1:0:1|Beginner:81:0:0:0:0:0:0:2|Welcome:62:25:8:200:15:185:0:2
2026 May	401	Master:21:10:8:80:80:0:0:1|Elite:22:10:8:80:71:9:0:1|Pro 1:23:10:8:80:60:20:0:1|Pro 2:24:9:8:72:56:16:0:1|Pro 3:25:12:8:96:64:32:0:1|Semi Pro 1:113:10:8:80:62:18:0:1|Beginner:81:0:0:0:0:0:0:1|Welcome:62:8:8:64:2:62:0:1
2026 April	381	Master:21:10:8:80:76:4:0:1|Elite:22:10:8:80:72:8:0:1|Pro 1:23:10:8:80:64:16:0:1|Pro 2:24:10:8:80:64:16:0:1|Pro 3:25:12:8:96:84:12:0:1|Semi Pro 1:113:10:8:80:74:6:0:1|Beginner:81:0:0:0:0:0:0:1|Welcome:62:12:8:96:27:69:0:1
2026 March	361	Master:21:10:8:80:77:3:0:1|Elite:22:10:8:80:78:2:0:1|Pro 1:23:10:8:80:76:4:0:1|Pro 2:24:9:8:72:71:1:0:1|Pro 3:25:13:7:89:77:12:0:1|Semi Pro 1:113:10:8:80:80:0:0:2|Beginner:81:0:0:0:0:0:0:1|Welcome:62:2:8:16:10:6:0:1
2026 February	341	Master:21:10:3:21:20:1:0:1|Elite:22:9:8:72:70:2:0:2|Pro 1:23:10:8:80:59:21:0:1|Pro 2:24:10:5:50:41:9:0:1|Pro 3:25:14:8:112:86:26:0:3|Semi Pro 1:113:10:8:80:69:11:0:1|Beginner:81:0:0:0:0:0:0:1|Welcome:62:8:8:64:3:61:0:1
2026 January	321	Master:21:10:8:80:79:1:0:2|Elite:22:10:8:80:73:7:0:1|Pro 1:23:10:8:80:77:3:0:1|Pro 2:24:10:8:80:71:9:0:1|Pro 3:25:12:8:96:91:5:0:1|Semi Pro 1:113:10:8:80:73:7:0:1|Beginner:81:0:0:0:0:0:0:1|Welcome:62:16:8:128:7:121:0:1
2025 December	301	Master:21:10:8:80:76:4:0:1|Elite:22:10:8:80:70:10:0:1|Pro 1:23:10:8:80:78:2:0:1|Pro 2:24:9:8:72:63:9:0:1|Pro 3:25:12:8:87:77:10:0:1|Semi Pro 1:113:8:8:64:47:17:0:3|Beginner:81:0:0:0:0:0:0:1|Welcome:62:10:8:80:0:80:0:1
2025 November	281	Master:21:10:8:80:80:0:0:1|Elite:22:10:8:80:80:0:0:1|Pro 1:23:10:8:80:78:2:0:1|Pro 2:24:10:8:80:74:6:0:1|Pro 3:25:11:8:88:68:20:0:1|Semi Pro 1:113:10:8:80:64:16:0:1|Beginner:81:0:0:0:0:0:0:1|Welcome:62:10:0:0:0:0:0:1
2025 October	261	Master:21:10:8:80:80:0:0:1|Elite:22:10:8:80:76:4:0:1|Pro 1:23:10:8:80:76:4:0:1|Pro 2:24:10:8:80:49:31:0:1|Pro 3:25:10:8:80:68:12:0:1|Semi Pro 1:113:10:8:80:77:3:0:1|Beginner:81:0:0:0:0:0:0:1|Welcome:62:15:2:30:5:25:0:1
2025 September	241	Master:21:10:8:80:78:2:0:1|Elite:22:10:8:80:80:0:0:1|Pro 1:23:9:8:72:64:8:0:1|Pro 2:24:8:8:64:48:16:0:1|Pro 3:25:14:8:112:111:1:0:1|Semi Pro 1:113:9:8:72:65:7:0:1|Beginner:81:0:0:0:0:0:0:1|Welcome:62:31:8:181:7:174:0:2
2025 August	221	Master:21:10:8:80:66:14:0:1|Elite:22:10:8:80:75:5:0:1|Pro 1:23:10:8:80:57:23:0:1|Pro 2:24:10:8:80:65:15:0:1|Pro 3:25:19:5:93:83:10:0:1|Semi Pro 1:113:9:8:72:63:9:0:3|Beginner:81:0:0:0:0:0:0:1|Welcome:62:15:6:90:2:88:0:1
2025 July	201	Master:21:10:8:80:78:2:0:1|Elite:22:10:8:80:76:4:0:1|Pro 1:23:9:8:72:66:6:0:1|Pro 2:24:10:8:80:72:8:0:1|Pro 3:25:15:8:120:98:22:0:1|Semi Pro 1:113:9:8:72:44:28:0:1|Beginner:81:9:8:72:38:34:0:1|Welcome:62:5:8:40:1:39:0:1
2025 June	181	Master:21:10:8:80:76:4:0:1|Elite:22:10:8:80:77:3:0:1|Pro 1:23:10:8:80:78:2:0:1|Pro 2:24:10:8:80:67:13:0:1|Pro 3:25:12:8:96:85:11:0:1|Semi Pro 1:113:8:8:64:36:28:0:1|Beginner:81:8:8:64:29:35:0:1|Welcome:62:6:8:48:0:48:0:1
2025 May	161	Master:21:10:8:80:74:6:0:1|Elite:22:10:8:80:76:4:0:1|Pro 1:23:10:8:80:63:17:0:1|Pro 2:24:10:8:80:79:1:0:1|Pro 3:25:9:8:72:60:12:0:1|Semi Pro 1:113:9:8:72:43:29:0:1|Beginner:81:8:8:64:42:22:0:1|Welcome:62:4:8:32:0:32:0:1
2025 April	141	Master:21:10:8:80:79:1:0:1|Elite:22:10:8:80:68:12:0:1|Pro 1:23:10:8:80:76:4:0:1|Pro 2:24:10:8:80:78:2:0:1|Pro 3:25:16:4:59:50:9:0:1|Semi Pro 1:113:0:0:0:0:0:0:2|Beginner:81:10:8:80:41:39:0:1|Welcome:62:13:7:84:1:83:0:1
2025 March	121	Master:21:10:8:80:80:0:0:1|Elite:22:10:8:80:69:11:0:1|Pro 1:23:10:8:80:76:4:0:1|Pro 2:24:10:8:80:78:2:0:1|Pro 3:25:15:8:120:105:15:0:1|Semi Pro 1:113:0:0:0:0:0:0:1|Beginner:81:4:8:32:13:19:0:1|Welcome:62:14:8:112:0:112:0:1
2025 February	101	Master:21:10:8:80:79:1:0:1|Elite:22:10:8:80:69:11:0:1|Pro 1:23:10:8:80:80:0:0:1|Pro 2:24:10:8:80:72:8:0:1|Pro 3:25:16:8:128:92:36:0:1|Semi Pro 1:113:0:0:0:0:0:0:1|Beginner:81:6:8:48:20:28:0:1|Welcome:62:5:8:40:0:40:0:1
2025 January	81	Master:21:10:8:80:80:0:0:1|Elite:22:10:8:80:75:5:0:1|Pro 1:23:10:8:80:74:6:0:1|Pro 2:24:9:8:72:59:13:0:1|Pro 3:25:18:4:69:59:10:0:1|Semi Pro 1:113:0:0:0:0:0:0:2|Beginner:81:0:0:0:0:0:0:1|Welcome:62:1:8:8:0:8:0:1
2024 December	58	Master:21:10:8:80:80:0:0:1|Elite:22:10:8:80:71:9:0:1|Pro 1:23:10:8:80:73:7:0:1|Pro 2:24:10:8:80:58:22:0:1|Pro 3:25:13:8:104:82:22:0:1|Semi Pro 1:113:0:0:0:0:0:0:1|Beginner:81:0:0:0:0:0:0:1|Welcome:62:18:7:119:2:117:0:1
2024 November	57	Master:21:10:8:80:80:0:0:1|Elite:22:8:8:64:62:2:0:1|Pro 1:23:10:8:80:78:2:0:1|Pro 2:24:10:8:80:66:14:0:1|Pro 3:25:15:1:7:6:1:0:1|Semi Pro 1:113:0:0:0:0:0:0:2|Beginner:81:0:0:0:0:0:0:1|Welcome:62:0:0:0:0:0:0:1
2024 October	56	Master:21:9:8:72:68:4:0:1|Elite:22:10:8:80:77:3:0:1|Pro 1:23:10:8:80:61:19:0:1|Pro 2:24:9:8:72:70:2:0:1|Pro 3:25:14:5:65:57:8:0:1|Semi Pro 1:113:0:0:0:0:0:0:2|Beginner:81:0:0:0:0:0:0:1|Welcome:62:0:0:0:0:0:0:1
2024 September	55	Master:21:10:8:80:80:0:0:1|Elite:22:10:8:80:73:7:0:1|Pro 1:23:10:8:80:78:2:0:1|Pro 2:24:10:8:80:73:7:0:1|Pro 3:25:19:1:9:8:1:0:2|Semi Pro 1:113:0:0:0:0:0:0:2|Beginner:81:0:0:0:0:0:0:1|Welcome:62:0:0:0:0:0:0:1
