period	period_id	division	division_id	source_player_id	source_player_name	course	score_text	score_numeric	played_state	placement	hn1	points	raw_json_sha256
2026 August	461	Master	21	7948	POLANECE	Cherry Blossom	-30	-30	True	1	6	206	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	1205	Neo Impossible	Cherry Blossom	-30	-30	True	2	5	195	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	8549	mini_G	Cherry Blossom	-30	-30	True	2	5	195	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	24	El Jorge	Cherry Blossom	-29	-29	True	4	7	177	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	22	INDY	Cherry Blossom	-29	-29	True	5	5	165	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	8108	PETERK9FLORIDA	Cherry Blossom	-27	-27	True	6	5	155	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	4945	Princess_Bankshot	Cherry Blossom	-27	-27	True	7	4	144	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	7186	Chelle💯	Cherry Blossom	-27	-27	True	7	4	144	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	4927	yankeedude1123	Cherry Blossom	-27	-27	True	7	4	144	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	1108	plucky✌	Cherry Blossom	-26	-26	True	10	4	114	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	22	INDY	Cherry Blossom Hard	-29	-29	True	1	2	202	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	8549	mini_G	Cherry Blossom Hard	-26	-26	True	2	2	192	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	8108	PETERK9FLORIDA	Cherry Blossom Hard	-23	-23	True	3	2	182	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	4927	yankeedude1123	Cherry Blossom Hard	-22	-22	True	4	2	172	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	4945	Princess_Bankshot	Cherry Blossom Hard	-22	-22	True	4	2	172	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	7948	POLANECE	Cherry Blossom Hard	-21	-21	True	6	1	151	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	24	El Jorge	Cherry Blossom Hard	-21	-21	True	7	0	140	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	7186	Chelle💯	Cherry Blossom Hard	-18	-18	True	8	0	130	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	1108	plucky✌	Cherry Blossom Hard	-17	-17	True	9	1	121	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	1205	Neo Impossible	Cherry Blossom Hard	-17	-17	True	10	0	110	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	7948	POLANECE	Shangri-La	-32	-32	True	1	7	207	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	1205	Neo Impossible	Shangri-La	-32	-32	True	2	6	196	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	22	INDY	Shangri-La	-32	-32	True	3	5	185	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	24	El Jorge	Shangri-La	-31	-31	True	4	7	177	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	8108	PETERK9FLORIDA	Shangri-La	-31	-31	True	5	5	165	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	4927	yankeedude1123	Shangri-La	-31	-31	True	6	4	154	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	8549	mini_G	Shangri-La	-30	-30	True	7	6	146	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	7186	Chelle💯	Shangri-La	-29	-29	True	8	5	135	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	1108	plucky✌	Shangri-La	-29	-29	True	8	5	135	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	4945	Princess_Bankshot	Shangri-La	-27	-27	True	10	5	115	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	7948	POLANECE	Shangri-La - Hard	-23	-23	True	1	2	202	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	22	INDY	Shangri-La - Hard	-23	-23	True	2	0	190	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	1205	Neo Impossible	Shangri-La - Hard	-22	-22	True	3	0	180	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	8108	PETERK9FLORIDA	Shangri-La - Hard	-21	-21	True	4	1	171	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	24	El Jorge	Shangri-La - Hard	-21	-21	True	4	1	171	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	4945	Princess_Bankshot	Shangri-La - Hard	-19	-19	True	6	0	150	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	1108	plucky✌	Shangri-La - Hard	-18	-18	True	7	1	141	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	4927	yankeedude1123	Shangri-La - Hard	-17	-17	True	8	1	131	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	7186	Chelle💯	Shangri-La - Hard	-12	-12	True	9	0	120	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	8549	mini_G	Shangri-La - Hard			False				F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	7948	POLANECE	Ice Lair	-24	-24	True	1	1	201	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	4927	yankeedude1123	Ice Lair	-24	-24	True	1	1	201	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	8549	mini_G	Ice Lair	-23	-23	True	3	2	182	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	1205	Neo Impossible	Ice Lair	-22	-22	True	4	1	171	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	22	INDY	Ice Lair	-22	-22	True	5	0	160	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	24	El Jorge	Ice Lair	-21	-21	True	6	1	151	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	1108	plucky✌	Ice Lair	-20	-20	True	7	1	141	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	7186	Chelle💯	Ice Lair	-20	-20	True	7	1	141	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	8108	PETERK9FLORIDA	Ice Lair	-20	-20	True	7	1	141	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	4945	Princess_Bankshot	Ice Lair	-16	-16	True	10	1	111	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	4927	yankeedude1123	Ice Lair - Hard	-18	-18	True	1	1	201	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	24	El Jorge	Ice Lair - Hard	-18	-18	True	1	1	201	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	1205	Neo Impossible	Ice Lair - Hard	-16	-16	True	3	1	181	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	7948	POLANECE	Ice Lair - Hard	-16	-16	True	3	1	181	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	22	INDY	Ice Lair - Hard	-16	-16	True	3	1	181	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	8108	PETERK9FLORIDA	Ice Lair - Hard	-14	-14	True	6	1	151	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	8549	mini_G	Ice Lair - Hard	-14	-14	True	7	0	140	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	4945	Princess_Bankshot	Ice Lair - Hard	-12	-12	True	8	1	131	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	1108	plucky✌	Ice Lair - Hard	-10	-10	True	9	0	120	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	7186	Chelle💯	Ice Lair - Hard	-7	-7	True	10	1	111	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	8549	mini_G	Hollywood	-24	-24	True	1	5	205	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	7948	POLANECE	Hollywood	-21	-21	True	2	4	194	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	4927	yankeedude1123	Hollywood	-21	-21	True	3	2	182	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	24	El Jorge	Hollywood	-20	-20	True	4	2	172	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	22	INDY	Hollywood	-19	-19	True	5	3	163	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	4945	Princess_Bankshot	Hollywood	-19	-19	True	6	2	152	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	1205	Neo Impossible	Hollywood	-19	-19	True	7	1	141	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	8108	PETERK9FLORIDA	Hollywood	-18	-18	True	8	3	133	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	1108	plucky✌	Hollywood	-18	-18	True	9	1	121	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	7186	Chelle💯	Hollywood	-17	-17	True	10	3	113	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	22	INDY	Hollywood - Hard	-19	-19	True	1	1	201	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	8549	mini_G	Hollywood - Hard	-17	-17	True	2	1	191	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
2026 August	461	Master	21	7948	POLANECE	Hollywood - Hard	-17	-17	True	2	1	191	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D
