"metric"	"value"	"definition"
"old_source_rows"	"7285"	"Rows in retained website-recovery CSV"
"new_public_rows"	"15664"	"Rows in full public completed-period capture"
"old_rows_exactly_represented"	"384"	"Old rows matching period/division/player/course/difficulty/score"
"new_rows_exactly_represented_in_old"	"384"	"New rows with an exact retained-source fingerprint"
"old_rows_without_exact_new_match"	"6901"	"Old rows with no exact new fingerprint, including any score drift"
"new_rows_without_exact_old_match"	"15280"	"New rows absent from the old source exact-fingerprint set"
"logical_observation_keys_overlapping"	"385"	"Same period/division/player/course/difficulty regardless of score"
"score_conflict_rows"	"1"	"Overlapping logical keys whose score text differs"
"player_name_conflict_rows"	"0"	"Overlapping logical keys whose exact source names differ"
"division_conflict_rows"	"0"	"No division conflicts under source IDs/labels"
"old_exact_duplicate_fingerprints"	"0"	"Exact duplicates in retained source"
"new_exact_duplicate_fingerprints"	"0"	"Exact duplicates in new capture"
"new_rows_only_through_retired_114_115"	"1648"	"New rows from Semi Pro 2/3, absent from old source"
"new_visible_division_rows_without_old_exact_match"	"13632"	"New rows outside 114/115 absent from old exact set"
"old_played_scored"	"6182"	"Numeric old scores"
"old_blank_unplayed"	"1103"	"Blank old course slots"
"new_played_scored"	"11727"	"Numeric new scores"
"new_blank_unplayed"	"3937"	"Blank new course slots"
"new_malformed_rows"	"0"	"Rows failing required source fields or score grammar"
"new_negative_score_rows"	"11311"	"Negative numeric scores"
"new_zero_score_rows"	"72"	"Zero numeric scores"
"new_unique_source_player_ids"	"202"	"Distinct source player IDs"
"new_unique_source_names"	"202"	"Distinct exact source screen names"
