"period_id"	"period"	"observations"	"played_scored"	"blank_unplayed"	"divisions"
"54"	"2024 August"	"432"	"378"	"54"	"21,22,23,24,25"
"55"	"2024 September"	"472"	"403"	"69"	"21,22,23,24,25"
"56"	"2024 October"	"416"	"367"	"49"	"21,22,23,24,25"
"57"	"2024 November"	"424"	"381"	"43"	"21,22,23,24,25"
"58"	"2024 December"	"568"	"366"	"202"	"21,22,23,24,25,62"
"81"	"2025 January"	"464"	"414"	"50"	"21,22,23,24,25,62"
"101"	"2025 February"	"536"	"412"	"124"	"21,22,23,24,25,62,81"
"121"	"2025 March"	"584"	"421"	"163"	"21,22,23,24,25,62,81"
"141"	"2025 April"	"632"	"443"	"189"	"21,22,23,24,25,62,81"
"161"	"2025 May"	"704"	"522"	"182"	"21,22,23,24,25,62,81,113,114,115"
"181"	"2025 June"	"720"	"531"	"189"	"21,22,23,24,25,62,81,113,114,115"
"201"	"2025 July"	"712"	"547"	"165"	"21,22,23,24,25,62,81,113,114,115"
"221"	"2025 August"	"824"	"598"	"226"	"21,22,23,24,25,62,113,114,115"
"241"	"2025 September"	"808"	"563"	"245"	"21,22,23,24,25,62,113,114,115"
"261"	"2025 October"	"728"	"544"	"184"	"21,22,23,24,25,62,113,114,115"
"281"	"2025 November"	"760"	"534"	"226"	"21,22,23,24,25,62,113,114,115"
"301"	"2025 December"	"656"	"500"	"156"	"21,22,23,24,25,62,113,114,115"
"321"	"2026 January"	"752"	"569"	"183"	"21,22,23,24,25,62,113,114,115"
"341"	"2026 February"	"688"	"526"	"162"	"21,22,23,24,25,62,113,114,115"
"361"	"2026 March"	"608"	"561"	"47"	"21,22,23,24,25,62,113,114,115"
"381"	"2026 April"	"656"	"515"	"141"	"21,22,23,24,25,62,113,114"
"401"	"2026 May"	"664"	"433"	"231"	"21,22,23,24,25,62,113,114,115"
"421"	"2026 June"	"680"	"396"	"284"	"21,22,23,24,25,62,113,114"
"441"	"2026 July"	"696"	"431"	"265"	"21,22,23,24,25,62,113,114"
"461"	"2026 August"	"480"	"372"	"108"	"21,22,23,24,25,62,113"
