"label"	"period_id"	"period"	"capture_views"	"max_overall_leader_rows"	"evidence_file"	"evidence_field"
"Amateur 1"	"55"	"2024 September"	"10"	"2"	"raw/period-55-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 1"	"81"	"2025 January"	"10"	"1"	"raw/period-81-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 1"	"141"	"2025 April"	"10"	"1"	"raw/period-141-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 1"	"161"	"2025 May"	"10"	"2"	"raw/period-161-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 1"	"181"	"2025 June"	"10"	"1"	"raw/period-181-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 1"	"201"	"2025 July"	"10"	"1"	"raw/period-201-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 1"	"221"	"2025 August"	"10"	"2"	"raw/period-221-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 1"	"261"	"2025 October"	"10"	"2"	"raw/period-261-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 1"	"281"	"2025 November"	"10"	"2"	"raw/period-281-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 1"	"301"	"2025 December"	"10"	"1"	"raw/period-301-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 2"	"54"	"2024 August"	"10"	"1"	"raw/period-54-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 2"	"55"	"2024 September"	"10"	"1"	"raw/period-55-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 2"	"56"	"2024 October"	"10"	"1"	"raw/period-56-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 2"	"57"	"2024 November"	"10"	"1"	"raw/period-57-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 2"	"58"	"2024 December"	"10"	"1"	"raw/period-58-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 2"	"81"	"2025 January"	"10"	"1"	"raw/period-81-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 2"	"101"	"2025 February"	"10"	"2"	"raw/period-101-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 2"	"121"	"2025 March"	"10"	"3"	"raw/period-121-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 2"	"141"	"2025 April"	"10"	"2"	"raw/period-141-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 2"	"161"	"2025 May"	"10"	"2"	"raw/period-161-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 2"	"181"	"2025 June"	"10"	"1"	"raw/period-181-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 2"	"201"	"2025 July"	"10"	"1"	"raw/period-201-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 2"	"221"	"2025 August"	"10"	"1"	"raw/period-221-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 2"	"241"	"2025 September"	"10"	"1"	"raw/period-241-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 2"	"261"	"2025 October"	"10"	"2"	"raw/period-261-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 2"	"301"	"2025 December"	"10"	"1"	"raw/period-301-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 3"	"54"	"2024 August"	"10"	"1"	"raw/period-54-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 3"	"55"	"2024 September"	"10"	"1"	"raw/period-55-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 3"	"56"	"2024 October"	"10"	"1"	"raw/period-56-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 3"	"57"	"2024 November"	"10"	"1"	"raw/period-57-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 3"	"58"	"2024 December"	"10"	"1"	"raw/period-58-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 3"	"81"	"2025 January"	"10"	"2"	"raw/period-81-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 3"	"121"	"2025 March"	"10"	"1"	"raw/period-121-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 3"	"161"	"2025 May"	"10"	"1"	"raw/period-161-division-21.html"	"Overall Leaders LEAGUE_NAME"
"Amateur 3"	"181"	"2025 June"	"10"	"2"	"raw/period-181-division-21.html"	"Overall Leaders LEAGUE_NAME"
