period	period_id	status	division	division_id	leader_rows	course_tables	player_counts_per_course	observations	scored	unplayed	dom_sha256	structured_json_sha256	raw_html	raw_text	raw_json	exact_player_names
2026 August	461	COMPLETED	Master	21	10	8	Cherry Blossom:10;Cherry Blossom Hard:10;Shangri-La:10;Shangri-La - Hard:10;Ice Lair:10;Ice Lair - Hard:10;Hollywood:10;Hollywood - Hard:10	80	79	1	7BA65041A0F9A39C039554DBB11C5BEF7B9560D2FFDB2D3286F20DB7A9220081	F7B595EB78D8D6D74B3BF24FE7758FB4E7F739433A9474EED6056B3C5D9D899D	raw/period-461-division-21.html	raw/period-461-division-21.txt	raw/period-461-division-21.json	["POLANECE","Neo Impossible","mini_G","El Jorge","INDY","PETERK9FLORIDA","Princess_Bankshot","Chelle💯","yankeedude1123","plucky✌"]
2026 August	461	COMPLETED	Elite	22	10	8	Cherry Blossom:10;Cherry Blossom Hard:10;Shangri-La:10;Shangri-La - Hard:10;Ice Lair:10;Ice Lair - Hard:10;Hollywood:10;Hollywood - Hard:10	80	69	11	6D80026E395554F13062F8D5D710B938E859E10A9FC9769BC48F176F951733BD	FF48674298457AB202B9D9D639DBBAD1E01AF3F422C851BC8667A146E3AD7123	raw/period-461-division-22.html	raw/period-461-division-22.txt	raw/period-461-division-22.json	["Mully","Spicy - DawnSophia","TrickyDicky","leanin2it","Maximus","The Real JB","bigja33","Slappy","roknhorsebrat","ZoeDarlin"]
2026 August	461	COMPLETED	Pro 1	23	10	8	Cherry Blossom:10;Cherry Blossom Hard:10;Shangri-La:10;Shangri-La - Hard:10;Ice Lair:10;Ice Lair - Hard:10;Hollywood:10;Hollywood - Hard:10	80	78	2	80645665C04B2C8EA22686249CE3434E43B95A6D2C5633CB1971F95FE1BA735C	4977D6A75012930116F7444D06115D9BA0ECB0CFFDD19BB2DE1B0E80F02AB538	raw/period-461-division-23.html	raw/period-461-division-23.txt	raw/period-461-division-23.json	["PaulV-PPP 🇨🇦","Alyssa38","gomarino13","Nic79","musical_atv 🎻","D3bb13","Chipnputt","deebee","awesome_kris","Kd"]
2026 August	461	COMPLETED	Pro 2	24	10	8	Cherry Blossom:10;Cherry Blossom Hard:10;Shangri-La:10;Shangri-La - Hard:10;Ice Lair:10;Ice Lair - Hard:10;Hollywood:10;Hollywood - Hard:10	80	56	24	5B365A471B025AB6D8B4BB27BDCA8326D34A1B0F69FD8C96584164FA6D5FEA88	288A9DF73F8141007CCF2396424913957326597A242DC1FCE619B7A6647237C7	raw/period-461-division-24.html	raw/period-461-division-24.txt	raw/period-461-division-24.json	["Sj_76","SerenityMoon","Jennem","DMD-Enditnow","Raccoons Whisker","NuttyGrandpa","Fakku_FR","BadWolff🐺","Golfshark","Audrey"]
2026 August	461	COMPLETED	Pro 3	25	10	8	Cherry Blossom:10;Cherry Blossom Hard:10;Shangri-La:10;Shangri-La - Hard:10;Ice Lair:10;Ice Lair - Hard:10;Hollywood:10;Hollywood - Hard:10	80	58	22	97B9D75D8FD6C285D932ED0D16DE4FFA8CC3E169F36F831D45F495B1982E95CE	65C2AFE849102D4DD3AC062BA4214585B756838522D0DC52EDB3C3F4BC7D353D	raw/period-461-division-25.html	raw/period-461-division-25.txt	raw/period-461-division-25.json	["far canal","Chicagobry","Bethann","Ultrafox_Lynne","ladytea","WendyW(Wyndemere2020)","KillERBee","Bearded_Driver","DARLAVA","Heisenberg"]
2026 August	461	COMPLETED	Semi Pro 1	113	5	8	Cherry Blossom:5;Cherry Blossom Hard:5;Shangri-La:5;Shangri-La - Hard:5;Ice Lair:5;Ice Lair - Hard:5;Hollywood:5;Hollywood - Hard:5	40	16	24	319A4FD1759696A038DCF9E600FD5A340410F9C99C47EF212258EF189AF2BC8F	30B2F2B944A4E40A7283E33CC232440CE11D665B8577CD71CE997D22D5336F4B	raw/period-461-division-113.html	raw/period-461-division-113.txt	raw/period-461-division-113.json	["Earthling","IMJOMAMA","SMILEROBIN","Maximus_PrimeIV","Gatorsfan89"]
2026 August	461	COMPLETED	Beginner	81	0	0		0	0	0	F99044D7D3FEAF097B3B8F0D84403D799EF603BF9103BC4D5B3EFAA8967995A2	1D1FBD3D129BB4B0124DE783227D6F405A97823034ACBB2E391F4C272A30BE09	raw/period-461-division-81.html	raw/period-461-division-81.txt	raw/period-461-division-81.json	
2026 August	461	COMPLETED	Welcome	62	5	8	Cherry Blossom:5;Cherry Blossom Hard:5;Shangri-La:5;Shangri-La - Hard:5;Ice Lair:5;Ice Lair - Hard:5;Hollywood:5;Hollywood - Hard:5	40	16	24	1E12693A9012143FC64E22BDA1EDEA568506E71EDC60848306F215848B8C8812	7C1CEAB12F6AB0781154F7A35CF7426657D253FD5235D5DC14C9B1FE08DA315C	raw/period-461-division-62.html	raw/period-461-division-62.txt	raw/period-461-division-62.json	["Zanetti","lynniebodd","Matt916","Gobson","stewiestewie"]
2026 August	461	COMPLETED	Semi Pro 2	114	0	0		0	0	0	2F250F7C2592F19AC1E24F72F825C329A934E427B0C48DB474BB24D4A5305D6D	2FCCE500D1445FDFBBC94A1671B65AEA44C063C86D5901DAE20DBAA2B8C11DF4	raw/period-461-division-114.html	raw/period-461-division-114.txt	raw/period-461-division-114.json	
2026 August	461	COMPLETED	Semi Pro 3	115	0	0		0	0	0	42E9699EEAEB978B1421DE800955CE1DFBF82BE2E00AEA09806F8F9DFFC8CBCA	01AF48546F13BCDBE52554AFE464F3E4029EA4504A4B2784BA658331A33F3A90	raw/period-461-division-115.html	raw/period-461-division-115.txt	raw/period-461-division-115.json	
