period	period_id	status	division	division_id	leader_rows	course_tables	player_counts_per_course	observations	scored	unplayed	classification	raw_json
2026 August	461	COMPLETED	Master	21	10	8	Cherry Blossom:10;Cherry Blossom Hard:10;Shangri-La:10;Shangri-La - Hard:10;Ice Lair:10;Ice Lair - Hard:10;Hollywood:10;Hollywood - Hard:10	80	79	1	COMPLETE_DATA_RECOVERED	raw/period-461-division-21.json
2026 August	461	COMPLETED	Elite	22	10	8	Cherry Blossom:10;Cherry Blossom Hard:10;Shangri-La:10;Shangri-La - Hard:10;Ice Lair:10;Ice Lair - Hard:10;Hollywood:10;Hollywood - Hard:10	80	69	11	COMPLETE_DATA_RECOVERED	raw/period-461-division-22.json
2026 August	461	COMPLETED	Pro 1	23	10	8	Cherry Blossom:10;Cherry Blossom Hard:10;Shangri-La:10;Shangri-La - Hard:10;Ice Lair:10;Ice Lair - Hard:10;Hollywood:10;Hollywood - Hard:10	80	78	2	COMPLETE_DATA_RECOVERED	raw/period-461-division-23.json
2026 August	461	COMPLETED	Pro 2	24	10	8	Cherry Blossom:10;Cherry Blossom Hard:10;Shangri-La:10;Shangri-La - Hard:10;Ice Lair:10;Ice Lair - Hard:10;Hollywood:10;Hollywood - Hard:10	80	56	24	COMPLETE_DATA_RECOVERED	raw/period-461-division-24.json
2026 August	461	COMPLETED	Pro 3	25	10	8	Cherry Blossom:10;Cherry Blossom Hard:10;Shangri-La:10;Shangri-La - Hard:10;Ice Lair:10;Ice Lair - Hard:10;Hollywood:10;Hollywood - Hard:10	80	58	22	COMPLETE_DATA_RECOVERED	raw/period-461-division-25.json
2026 August	461	COMPLETED	Semi Pro 1	113	5	8	Cherry Blossom:5;Cherry Blossom Hard:5;Shangri-La:5;Shangri-La - Hard:5;Ice Lair:5;Ice Lair - Hard:5;Hollywood:5;Hollywood - Hard:5	40	16	24	COMPLETE_DATA_RECOVERED	raw/period-461-division-113.json
2026 August	461	COMPLETED	Beginner	81	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-461-division-81.json
2026 August	461	COMPLETED	Welcome	62	5	8	Cherry Blossom:5;Cherry Blossom Hard:5;Shangri-La:5;Shangri-La - Hard:5;Ice Lair:5;Ice Lair - Hard:5;Hollywood:5;Hollywood - Hard:5	40	16	24	COMPLETE_DATA_RECOVERED	raw/period-461-division-62.json
2026 August	461	COMPLETED	Semi Pro 2	114	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-461-division-114.json
2026 August	461	COMPLETED	Semi Pro 3	115	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-461-division-115.json
2026 July	441	COMPLETED	Master	21	10	8	Tourist Trap:10;Tourist Trap Hard:10;Upside Town:10;Upside Town - Hard:10;Gardens of Babylon:10;Gardens of Babylon Hard:10;Mars Gardens:10;Mars Gardens - Hard:10	80	80	0	COMPLETE_DATA_RECOVERED	raw/period-441-division-21.json
2026 July	441	COMPLETED	Elite	22	10	8	Tourist Trap:10;Tourist Trap Hard:10;Upside Town:10;Upside Town - Hard:10;Gardens of Babylon:10;Gardens of Babylon Hard:10;Mars Gardens:10;Mars Gardens - Hard:10	80	70	10	COMPLETE_DATA_RECOVERED	raw/period-441-division-22.json
2026 July	441	COMPLETED	Pro 1	23	9	8	Tourist Trap:9;Tourist Trap Hard:9;Upside Town:9;Upside Town - Hard:9;Gardens of Babylon:9;Gardens of Babylon Hard:9;Mars Gardens:9;Mars Gardens - Hard:9	72	72	0	COMPLETE_DATA_RECOVERED	raw/period-441-division-23.json
2026 July	441	COMPLETED	Pro 2	24	10	8	Tourist Trap:10;Tourist Trap Hard:10;Upside Town:10;Upside Town - Hard:10;Gardens of Babylon:10;Gardens of Babylon Hard:10;Mars Gardens:10;Mars Gardens - Hard:10	80	56	24	COMPLETE_DATA_RECOVERED	raw/period-441-division-24.json
2026 July	441	COMPLETED	Pro 3	25	10	8	Tourist Trap:10;Tourist Trap Hard:10;Upside Town:10;Upside Town - Hard:10;Gardens of Babylon:10;Gardens of Babylon Hard:10;Mars Gardens:10;Mars Gardens - Hard:10	80	54	26	COMPLETE_DATA_RECOVERED	raw/period-441-division-25.json
2026 July	441	COMPLETED	Semi Pro 1	113	7	8	Tourist Trap:7;Tourist Trap Hard:7;Upside Town:7;Upside Town - Hard:7;Gardens of Babylon:7;Gardens of Babylon Hard:7;Mars Gardens:7;Mars Gardens - Hard:7	56	51	5	COMPLETE_DATA_RECOVERED	raw/period-441-division-113.json
2026 July	441	COMPLETED	Beginner	81	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-441-division-81.json
2026 July	441	COMPLETED	Welcome	62	23	8	Tourist Trap:23;Tourist Trap Hard:23;Upside Town:23;Upside Town - Hard:23;Gardens of Babylon:23;Gardens of Babylon Hard:23;Mars Gardens:23;Mars Gardens - Hard:23	184	10	174	COMPLETE_DATA_RECOVERED	raw/period-441-division-62.json
2026 July	441	COMPLETED	Semi Pro 2	114	8	8	Tourist Trap:8;Tourist Trap Hard:8;Upside Town:8;Upside Town - Hard:8;Gardens of Babylon:8;Gardens of Babylon Hard:8;Mars Gardens:8;Mars Gardens - Hard:8	64	38	26	COMPLETE_DATA_RECOVERED	raw/period-441-division-114.json
2026 July	441	COMPLETED	Semi Pro 3	115	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-441-division-115.json
2026 June	421	COMPLETED	Master	21	10	8	Seagull Stacks:10;Seagull Stacks - Hard:10;Bogey's Bonanza:10;Bogey's Bonanza Hard:10;Journey to the Center of the Earth:10;Center of the Earth - Hard:10;Alfheim:10;Alfheim Hard:10	80	74	6	COMPLETE_DATA_RECOVERED	raw/period-421-division-21.json
2026 June	421	COMPLETED	Elite	22	10	8	Seagull Stacks:10;Seagull Stacks - Hard:10;Bogey's Bonanza:10;Bogey's Bonanza Hard:10;Journey to the Center of the Earth:10;Center of the Earth - Hard:10;Alfheim:10;Alfheim Hard:10	80	77	3	COMPLETE_DATA_RECOVERED	raw/period-421-division-22.json
2026 June	421	COMPLETED	Pro 1	23	10	8	Seagull Stacks:10;Seagull Stacks - Hard:10;Bogey's Bonanza:10;Bogey's Bonanza Hard:10;Journey to the Center of the Earth:10;Center of the Earth - Hard:10;Alfheim:10;Alfheim Hard:10	80	72	8	COMPLETE_DATA_RECOVERED	raw/period-421-division-23.json
2026 June	421	COMPLETED	Pro 2	24	7	8	Seagull Stacks:7;Seagull Stacks - Hard:7;Bogey's Bonanza:7;Bogey's Bonanza Hard:7;Journey to the Center of the Earth:7;Center of the Earth - Hard:7;Alfheim:7;Alfheim Hard:7	56	40	16	COMPLETE_DATA_RECOVERED	raw/period-421-division-24.json
2026 June	421	COMPLETED	Pro 3	25	7	8	Seagull Stacks:7;Seagull Stacks - Hard:7;Bogey's Bonanza:7;Bogey's Bonanza Hard:7;Journey to the Center of the Earth:7;Center of the Earth - Hard:7;Alfheim:7;Alfheim Hard:7	56	26	30	COMPLETE_DATA_RECOVERED	raw/period-421-division-25.json
