Skip to Main Content
Kry's Monthlies
Search
0 results
Install App
About
nobody
	
2025 November
108/88 players
COMPLETED
	
Overall Leaders - 2025 November
Pos	Player	League	Courses
Played	Total
Strokes	HN1's	Points
1	Zanetti	Master	8	-217	40	1,590
2	Nic79	Semi Pro 3	8	-119	11	1,581
3	SlugJug33	Amateur 1	8	-145	13	1,573
4	Derby_Daz	Elite	8	-195	27	1,567
5	ZoeDarlin	Semi Pro 1	8	-153	15	1,565
6	INDY	Master	8	-210	39	1,559
7	The Real JB	Amateur 1	8	-119	11	1,541
8	JUICE_WRLD	Pro 3	8	-165	19	1,529
9	PaulV-PPP 🇨🇦	Pro 2	8	-153	19	1,519
10	Jennem	Semi Pro 2	8	-101	10	1,490
1 - 10
Semi Pro 2 Leaders
League
- Select -
Master
Elite
Pro 1
Pro 2
Pro 3
Semi Pro 1
Beginner
Welcome
114
Pos	Player	Courses
Played	Total
Strokes	HN1's	Points
1
	Jennem	8	-101	10	1,490
2
	ARTSY	8	-100	13	1,443
3
	Bethann	8	-66	7	1,317
4
	Ultrafox_Lynne	8	-57	8	1,248
5
	WendyW(Wyndemere2020)	8	-38	5	1,235
6
	RYANL503	6	-81	16	1,106
7
	peach🌻	6	-74	8	1,058
8
	MAMAGOATZ	3	-41	6	536
9
	RUBBERDUCK	1	-6	3	163
10
	Sandtrap	1	-3	3	143
1 - 10
 Players at risk of relegation
  Point change since last report.
 Cherry Blossom
#	Player	Score	HN1	Points
1	peach🌻	-28	5	205
2	Jennem	-20	0	190
3	ARTSY	-18	2	182
4	Bethann	-18	0	170
5	Ultrafox_Lynne	-15	0	160
6	WendyW(Wyndemere2020)	-13	0	150
	RYANL503			
	Sandtrap			
	MAMAGOATZ			
	RUBBERDUCK			
 Cherry Blossom Hard
#	Player	Score	HN1	Points
1	peach🌻	-17	0	200
2	ARTSY	-11	1	191
3	Bethann	-4	0	180
3	Jennem	-4	0	180
5	Ultrafox_Lynne	0	0	160
6	WendyW(Wyndemere2020)	6	0	150
	RUBBERDUCK			
	RYANL503			
	MAMAGOATZ			
	Sandtrap			
 Temple at Zerzura
#	Player	Score	HN1	Points
1	Jennem	-16	2	202
2	Bethann	-16	1	191
3	ARTSY	-15	2	182
4	WendyW(Wyndemere2020)	-12	0	170
4	peach🌻	-12	0	170
6	Ultrafox_Lynne	-10	2	152
6	RYANL503	-10	2	152
	MAMAGOATZ			
	RUBBERDUCK			
	Sandtrap			
 Temple at Zerzura - Hard
#	Player	Score	HN1	Points
1	RYANL503	-12	2	202
2	Jennem	-9	0	190
3	WendyW(Wyndemere2020)	-1	1	181
4	ARTSY	2	1	171
5	Bethann	4	0	160
6	peach🌻	5	1	151
7	Ultrafox_Lynne	10	2	142
	MAMAGOATZ			
	Sandtrap			
	RUBBERDUCK			
 20,000 Leagues Under The Sea
#	Player	Score	HN1	Points
1	RYANL503	-18	3	203
2	Jennem	-18	0	190
3	Ultrafox_Lynne	-16	1	181
4	Bethann	-15	2	172
4	MAMAGOATZ	-15	2	172
6	ARTSY	-13	2	152
7	WendyW(Wyndemere2020)	-8	1	141
	peach🌻			
	Sandtrap			
	RUBBERDUCK			
 20,000 Leagues Hard
#	Player	Score	HN1	Points
1	Jennem	-14	2	202
2	Ultrafox_Lynne	-13	1	191
2	RYANL503	-13	1	191
4	ARTSY	-10	0	170
5	Bethann	-3	0	160
6	WendyW(Wyndemere2020)	-1	0	150
	peach🌻			
	RUBBERDUCK			
	MAMAGOATZ			
	Sandtrap			
 Forgotten Fairyland
#	Player	Score	HN1	Points
1	RYANL503	-24	6	206
2	ARTSY	-23	4	194
3	WendyW(Wyndemere2020)	-18	3	183
3	MAMAGOATZ	-18	3	183
5	Bethann	-15	3	163
6	peach🌻	-14	1	151
7	Jennem	-12	2	142
8	Ultrafox_Lynne	-11	1	131
	RUBBERDUCK			
	Sandtrap			
 Forgotten Fairyland - Hard
#	Player	Score	HN1	Points
1	ARTSY	-12	1	201
2	Jennem	-8	4	194
3	peach🌻	-8	1	181
3	MAMAGOATZ	-8	1	181
5	RUBBERDUCK	-6	3	163
6	RYANL503	-4	2	152
7	Sandtrap	-3	3	143
8	Ultrafox_Lynne	-2	1	131
9	Bethann	1	1	121
10	WendyW(Wyndemere2020)	9	0	110
2025 November Courses


CBE - Cherry Blossom
CBH - Cherry Blossom Hard


ZZE - Temple at Zerzura
ZZH - Temple at Zerzura - Hard


20E - 20,000 Leagues Under The Sea
20H - 20,000 Leagues Hard


FFE - Forgotten Fairyland
FFH - Forgotten Fairyland - Hard
Release 1.2 Built with  using Oracle APEX
