Skip to Main Content
Kry's Monthlies
Search
0 results
Install App
About
nobody
	
2025 December
91/80 players
COMPLETED
	
Overall Leaders - 2025 December
Pos	Player	League	Courses
Played	Total
Strokes	HN1's	Points
1	yankeedude1123	Elite	8	-194	26	1,596
2	INDY	Master	8	-216	31	1,591
3	Matt916	Pro 3	8	-182	17	1,587
4	The Real JB	Semi Pro 3	8	-121	15	1,575
5	SMILEROBIN	Amateur 2	8	-50	8	1,568
6	IMJOMAMA	Amateur 1	8	-65	7	1,567
7	Zanetti	Master	8	-208	35	1,565
8	plucky✌	Semi Pro 2	8	-125	14	1,534
9	l7jazz	Pro 2	8	-143	21	1,521
10	SlugJug33	Semi Pro 3	8	-106	9	1,509
1 - 10
Pro 2 Leaders
League
- Select -
Master
Elite
Pro 1
Pro 2
Pro 3
Semi Pro 1
Beginner
Welcome
Pos	Player	Courses
Played	Total
Strokes	HN1's	Points
1
	l7jazz	8	-143	21	1,521
2
	Chipnputt	8	-142	11	1,431
3
	Fry_Lock	8	-131	14	1,414
4
	GuyB22	8	-136	12	1,402
5
	Master_KP	8	-121	11	1,361
6
	roknhorsebrat	8	-94	9	1,169
7
	musical_atv 🎻	8	-99	13	1,163
8
	D3bb13	6	-92	9	939
9
	steven2018	1	-15	0	160
1 - 9
 Players at risk of relegation
  Point change since last report.
 Myst
#	Player	Score	HN1	Points
1	GuyB22	-28	4	204
2	Fry_Lock	-23	2	192
3	l7jazz	-22	4	184
4	Chipnputt	-22	3	173
5	D3bb13	-21	2	162
6	musical_atv 🎻	-19	0	150
7	roknhorsebrat	-18	1	141
8	Master_KP	-15	2	132
	steven2018			
 Myst Hard
#	Player	Score	HN1	Points
1	Master_KP	-16	1	201
2	l7jazz	-15	2	192
3	roknhorsebrat	-15	1	181
4	D3bb13	-14	2	172
5	Chipnputt	-14	1	161
5	GuyB22	-14	1	161
7	Fry_Lock	-8	0	140
8	musical_atv 🎻	-5	3	133
	steven2018			
 Shangri-La
#	Player	Score	HN1	Points
1	l7jazz	-24	5	205
2	Chipnputt	-24	2	192
3	GuyB22	-23	3	183
3	Master_KP	-23	3	183
5	Fry_Lock	-20	5	165
6	musical_atv 🎻	-20	4	154
7	D3bb13	-19	3	143
8	roknhorsebrat	-17	3	133
	steven2018			
 Shangri-La - Hard
#	Player	Score	HN1	Points
1	Master_KP	-18	1	201
2	Chipnputt	-16	2	192
3	D3bb13	-16	0	180
4	Fry_Lock	-14	1	171
5	l7jazz	-14	0	160
6	musical_atv 🎻	-13	0	150
7	GuyB22	-12	0	140
8	roknhorsebrat	0	0	130
	steven2018			
 Venice
#	Player	Score	HN1	Points
1	Fry_Lock	-20	1	201
2	l7jazz	-17	0	190
3	GuyB22	-16	1	181
4	Master_KP	-16	0	170
5	Chipnputt	-15	0	160
5	steven2018	-15	0	160
7	D3bb13	-14	1	141
8	musical_atv 🎻	-14	0	130
8	roknhorsebrat	-14	0	130
 Venice - Hard
#	Player	Score	HN1	Points
1	Chipnputt	-17	0	200
2	l7jazz	-15	2	192
3	Fry_Lock	-15	1	181
4	GuyB22	-12	0	170
5	musical_atv 🎻	-11	2	162
6	Master_KP	-9	1	151
7	D3bb13	-8	1	141
8	roknhorsebrat	-7	0	130
	steven2018			
 Viva Las Elvis
#	Player	Score	HN1	Points
1	l7jazz	-20	5	205
2	Fry_Lock	-19	3	193
3	GuyB22	-17	1	181
4	roknhorsebrat	-16	3	173
5	Master_KP	-15	1	161
6	Chipnputt	-13	1	151
7	musical_atv 🎻	-12	3	143
	D3bb13			
	steven2018			
 Viva Las Elvis - Hard
#	Player	Score	HN1	Points
1	Chipnputt	-21	2	202
2	l7jazz	-16	3	193
3	GuyB22	-14	2	182
4	Fry_Lock	-12	1	171
5	Master_KP	-9	2	162
6	roknhorsebrat	-7	1	151
7	musical_atv 🎻	-5	1	141
	D3bb13			
	steven2018			
2025 December Courses


MYE - Myst
MYH - Myst Hard


SLE - Shangri-La
SLH - Shangri-La - Hard


VNE - Venice
VNH - Venice - Hard


ELE - Viva Las Elvis
ELH - Viva Las Elvis - Hard
Release 1.2 Built with  using Oracle APEX
