Skip to Main Content
Kry's Monthlies
Search
0 results
Install App
About
nobody
	
2026 August
60/50 players
COMPLETED
	
Overall Leaders - 2026 August
Pos	Player	League	Courses
Played	Total
Strokes	HN1's	Points
1	Zanetti	Welcome	8	-180	21	1,621
2	far canal	Pro 3	8	-149	10	1,600
3	Earthling	Semi Pro 1	8	-67	12	1,592
4	POLANECE	Master	8	-184	23	1,533
5	lynniebodd	Welcome	8	-128	12	1,532
5	Sj_76	Pro 2	8	-120	12	1,532
7	Mully	Elite	8	-182	21	1,511
8	PaulV-PPP 🇨🇦	Pro 1	8	-147	19	1,459
9	DMD-Enditnow	Pro 2	8	-116	5	1,455
10	leanin2it	Elite	8	-173	18	1,448
1 - 10
Pro 3 Leaders
League
- Select -
Master
Elite
Pro 1
Pro 2
Pro 3
Semi Pro 1
Beginner
Welcome
Pos	Player	Courses
Played	Total
Strokes	HN1's	Points
1
	far canal	8	-149	10	1,600
2
	Bethann	8	-94	3	1,393
3
	Ultrafox_Lynne	8	-71	6	1,326
4
	KillERBee	8	-72	6	1,286
5
	Bearded_Driver	8	-36	8	1,188
6
	Chicagobry	6	-110	7	1,117
7
	ladytea	6	-83	9	1,039
8
	WendyW(Wyndemere2020)	6	-32	5	875
	DARLAVA	0			
	Heisenberg	0			
1 - 10
 Players at risk of relegation
  Point change since last report.
 Cherry Blossom
#	Player	Score	HN1	Points
1	far canal	-24	2	202
2	Chicagobry	-23	2	192
3	Bethann	-21	0	180
4	Ultrafox_Lynne	-20	0	170
5	ladytea	-19	1	161
6	WendyW(Wyndemere2020)	-18	1	151
7	KillERBee	-14	1	141
7	Bearded_Driver	-14	1	141
	DARLAVA			
	Heisenberg			
 Cherry Blossom Hard
#	Player	Score	HN1	Points
1	far canal	-18	0	200
2	Chicagobry	-17	0	190
3	Bethann	-11	0	180
4	KillERBee	-10	0	170
5	ladytea	-7	0	160
6	Ultrafox_Lynne	-4	0	150
7	WendyW(Wyndemere2020)	0	0	140
8	Bearded_Driver	3	0	130
	Heisenberg			
	DARLAVA			
 Shangri-La
#	Player	Score	HN1	Points
1	far canal	-27	4	204
1	Chicagobry	-27	4	204
3	ladytea	-23	6	186
4	Bethann	-21	2	172
5	Ultrafox_Lynne	-19	2	162
6	WendyW(Wyndemere2020)	-17	2	152
7	KillERBee	-15	1	141
8	Bearded_Driver	-14	3	133
	DARLAVA			
	Heisenberg			
 Shangri-La - Hard
#	Player	Score	HN1	Points
1	far canal	-21	1	201
2	Chicagobry	-15	0	190
3	KillERBee	-9	1	181
4	Ultrafox_Lynne	1	1	171
5	Bethann	2	0	160
6	Bearded_Driver	3	0	150
7	WendyW(Wyndemere2020)	5	1	141
	Heisenberg			
	DARLAVA			
	ladytea			
 Ice Lair
#	Player	Score	HN1	Points
1	Chicagobry	-17	1	201
2	far canal	-15	1	191
3	KillERBee	-15	0	180
4	ladytea	-14	0	170
5	Ultrafox_Lynne	-12	0	160
6	Bethann	-11	0	150
7	Bearded_Driver	-7	0	140
	Heisenberg			
	DARLAVA			
	WendyW(Wyndemere2020)			
 Ice Lair - Hard
#	Player	Score	HN1	Points
1	far canal	-11	0	200
2	Bethann	-10	0	190
3	KillERBee	-6	1	181
4	Ultrafox_Lynne	0	0	170
5	Bearded_Driver	2	1	161
	Chicagobry			
	Heisenberg			
	ladytea			
	WendyW(Wyndemere2020)			
	DARLAVA			
 Hollywood
#	Player	Score	HN1	Points
1	far canal	-17	1	201
2	ladytea	-16	2	192
3	Bearded_Driver	-15	2	182
4	Bethann	-15	1	171
5	Ultrafox_Lynne	-13	2	162
6	WendyW(Wyndemere2020)	-11	1	151
7	Chicagobry	-11	0	140
8	KillERBee	-6	0	130
	DARLAVA			
	Heisenberg			
 Hollywood - Hard
#	Player	Score	HN1	Points
1	far canal	-16	1	201
2	Bethann	-7	0	190
3	Ultrafox_Lynne	-4	1	181
4	ladytea	-4	0	170
5	KillERBee	3	2	162
6	Bearded_Driver	6	1	151
7	WendyW(Wyndemere2020)	9	0	140
	Heisenberg			
	DARLAVA			
	Chicagobry			
2026 August Courses


CBE - Cherry Blossom
CBH - Cherry Blossom Hard


SLE - Shangri-La
SLH - Shangri-La - Hard


ILE - Ice Lair
ILH - Ice Lair - Hard


HWE - Hollywood
HWH - Hollywood - Hard
Release 1.2 Built with  using Oracle APEX
