Skip to Main Content
Kry's Monthlies
Search
0 results
Install App
About
nobody
	
2025 January
92/88 players
COMPLETED
	
Overall Leaders - 2025 January
Pos	Player	League	Courses
Played	Total
Strokes	HN1's	Points
1	POLANECE	Amateur 1	8	-142	17	1,577
2	Empzurg	Amateur 2	8	-133	10	1,570
3	Jaynice	Amateur 3	8	-84	8	1,548
4	DaisyShaw	Pro 2	8	-153	12	1,542
5	bigja33	Pro 1	8	-148	14	1,494
6	Fry_Lock	Amateur 3	8	-71	4	1,484
7	Gobson	Elite	8	-165	15	1,475
8	El Jorge	Master	8	-182	22	1,452
9	yankeedude1123	Master	8	-176	23	1,443
10	stewiestewie	Elite	8	-159	15	1,435
1 - 10
Pro 2 Leaders
League
- Select -
Master
Elite
Pro 1
Pro 2
Pro 3
Semi Pro 1
Beginner
Welcome
Pos	Player	Courses
Played	Total
Strokes	HN1's	Points
1
	DaisyShaw	8	-153	12	1,542
2
	sarahloo1971	8	-111	14	1,324
3
	ARTSY	8	-111	6	1,316
4
	DMD-Enditnow	8	-88	8	1,248
5
	KCRob	6	-100	9	1,079
6
	KIM	7	-92	7	1,067
7
	mammothrept	6	-86	9	1,049
8
	UroPa	4	-78	6	776
9
	RYANL503	4	-41	8	618
1 - 9
 Players at risk of relegation
  Point change since last report.
 Tourist Trap
#	Player	Score	HN1	Points
1	RYANL503	-24	5	205
2	ARTSY	-20	2	192
3	mammothrept	-19	4	184
4	DaisyShaw	-19	2	172
5	KIM	-17	2	162
6	sarahloo1971	-16	2	152
7	DMD-Enditnow	-16	0	140
	KCRob			
	UroPa			
 Tourist Trap Hard
#	Player	Score	HN1	Points
1	DaisyShaw	-17	1	201
2	DMD-Enditnow	-13	0	190
2	mammothrept	-13	0	190
2	ARTSY	-13	0	190
5	KIM	-10	0	160
6	sarahloo1971	-9	0	150
7	RYANL503	-8	0	140
	KCRob			
	UroPa			
 Upside Town
#	Player	Score	HN1	Points
1	DaisyShaw	-23	1	201
2	sarahloo1971	-22	3	193
3	UroPa	-19	0	180
4	KCRob	-17	0	170
5	mammothrept	-16	2	162
6	ARTSY	-16	0	150
7	KIM	-11	0	140
8	RYANL503	-10	2	132
9	DMD-Enditnow	-9	0	120
 Upside Town - Hard
#	Player	Score	HN1	Points
1	DaisyShaw	-20	1	201
2	KCRob	-16	1	191
3	sarahloo1971	-12	0	180
4	ARTSY	-7	0	170
5	DMD-Enditnow	-2	1	161
6	mammothrept	0	0	150
7	RYANL503	1	1	141
	KIM			
	UroPa			
 Journey to the Center of the Earth
#	Player	Score	HN1	Points
1	DaisyShaw	-19	1	201
2	UroPa	-18	4	194
2	sarahloo1971	-18	4	194
4	DMD-Enditnow	-18	3	173
5	KCRob	-18	1	161
6	ARTSY	-17	2	152
7	KIM	-16	1	141
	mammothrept			
	RYANL503			
 Center of the Earth - Hard
#	Player	Score	HN1	Points
1	UroPa	-18	0	200
2	DaisyShaw	-15	0	190
3	KCRob	-11	2	182
4	ARTSY	-11	0	170
5	KIM	-8	0	160
6	sarahloo1971	-4	0	150
7	DMD-Enditnow	-1	0	140
	mammothrept			
	RYANL503			
 Alfheim
#	Player	Score	HN1	Points
1	mammothrept	-22	2	202
2	KCRob	-21	4	194
3	DaisyShaw	-20	3	183
4	KIM	-19	2	172
5	sarahloo1971	-18	3	163
6	DMD-Enditnow	-13	2	152
7	ARTSY	-13	1	141
	RYANL503			
	UroPa			
 Alfheim Hard
#	Player	Score	HN1	Points
1	UroPa	-23	2	202
2	DaisyShaw	-20	3	193
3	KCRob	-17	1	181
4	DMD-Enditnow	-16	2	172
5	mammothrept	-16	1	161
6	ARTSY	-14	1	151
7	sarahloo1971	-12	2	142
8	KIM	-11	2	132
	RYANL503			
2025 January Courses


TTE - Tourist Trap
TTH - Tourist Trap Hard


UTE - Upside Town
UTH - Upside Town - Hard


JCE - Journey to the Center of the Earth
JCH - Center of the Earth - Hard


ALE - Alfheim
ALH - Alfheim Hard
Release 1.2 Built with  using Oracle APEX
