period	period_id	division	division_source_value	source_player_name_exact	source_player_id	course_game_identifier	exact_score_text	parsed_numeric_score	played_state	missing_score_state	leader_placement	evidence_filename
2025 May	161	Master	21	yankeedude1123	4927	Original Gothic	-23	-23	scored	false	8	period-161-division-21.html
2025 May	161	Master	21	leanin2it	6950	Original Gothic	-22	-22	scored	false	2	period-161-division-21.html
2025 May	161	Master	21	El Jorge	24	Original Gothic	-21	-21	scored	false	1	period-161-division-21.html
2025 May	161	Master	21	Mully	88	Original Gothic	-21	-21	scored	false	7	period-161-division-21.html
2025 May	161	Master	21	Princess_Bankshot	4945	Original Gothic	-21	-21	scored	false	3	period-161-division-21.html
2025 May	161	Master	21	Slappy	1705	Original Gothic	-20	-20	scored	false	9	period-161-division-21.html
2025 May	161	Master	21	Neo Impossible	1205	Original Gothic	-20	-20	scored	false	4	period-161-division-21.html
2025 May	161	Master	21	Derby_Daz	54	Original Gothic	-20	-20	scored	false	5	period-161-division-21.html
2025 May	161	Master	21	Gobson	4645	Original Gothic	-19	-19	scored	false	6	period-161-division-21.html
2025 May	161	Master	21	Matt916	32	Original Gothic			missing	true	10	period-161-division-21.html
2025 May	161	Master	21	Derby_Daz	54	Original Gothic Hard	-22	-22	scored	false	5	period-161-division-21.html
2025 May	161	Master	21	Mully	88	Original Gothic Hard	-22	-22	scored	false	7	period-161-division-21.html
2025 May	161	Master	21	Gobson	4645	Original Gothic Hard	-22	-22	scored	false	6	period-161-division-21.html
2025 May	161	Master	21	El Jorge	24	Original Gothic Hard	-21	-21	scored	false	1	period-161-division-21.html
2025 May	161	Master	21	Neo Impossible	1205	Original Gothic Hard	-21	-21	scored	false	4	period-161-division-21.html
2025 May	161	Master	21	Princess_Bankshot	4945	Original Gothic Hard	-20	-20	scored	false	3	period-161-division-21.html
2025 May	161	Master	21	leanin2it	6950	Original Gothic Hard	-18	-18	scored	false	2	period-161-division-21.html
2025 May	161	Master	21	yankeedude1123	4927	Original Gothic Hard	-17	-17	scored	false	8	period-161-division-21.html
2025 May	161	Master	21	Slappy	1705	Original Gothic Hard	-11	-11	scored	false	9	period-161-division-21.html
2025 May	161	Master	21	Matt916	32	Original Gothic Hard			missing	true	10	period-161-division-21.html
2025 May	161	Master	21	Princess_Bankshot	4945	Labyrinth	-27	-27	scored	false	3	period-161-division-21.html
2025 May	161	Master	21	leanin2it	6950	Labyrinth	-26	-26	scored	false	2	period-161-division-21.html
2025 May	161	Master	21	El Jorge	24	Labyrinth	-24	-24	scored	false	1	period-161-division-21.html
2025 May	161	Master	21	Neo Impossible	1205	Labyrinth	-24	-24	scored	false	4	period-161-division-21.html
2025 May	161	Master	21	Matt916	32	Labyrinth	-24	-24	scored	false	10	period-161-division-21.html
2025 May	161	Master	21	Mully	88	Labyrinth	-23	-23	scored	false	7	period-161-division-21.html
2025 May	161	Master	21	Derby_Daz	54	Labyrinth	-23	-23	scored	false	5	period-161-division-21.html
2025 May	161	Master	21	Slappy	1705	Labyrinth	-22	-22	scored	false	9	period-161-division-21.html
2025 May	161	Master	21	Gobson	4645	Labyrinth	-20	-20	scored	false	6	period-161-division-21.html
2025 May	161	Master	21	yankeedude1123	4927	Labyrinth	-16	-16	scored	false	8	period-161-division-21.html
2025 May	161	Master	21	Gobson	4645	Labyrinth - Hard	-25	-25	scored	false	6	period-161-division-21.html
2025 May	161	Master	21	Princess_Bankshot	4945	Labyrinth - Hard	-21	-21	scored	false	3	period-161-division-21.html
2025 May	161	Master	21	yankeedude1123	4927	Labyrinth - Hard	-21	-21	scored	false	8	period-161-division-21.html
2025 May	161	Master	21	Neo Impossible	1205	Labyrinth - Hard	-19	-19	scored	false	4	period-161-division-21.html
2025 May	161	Master	21	El Jorge	24	Labyrinth - Hard	-17	-17	scored	false	1	period-161-division-21.html
2025 May	161	Master	21	leanin2it	6950	Labyrinth - Hard	-17	-17	scored	false	2	period-161-division-21.html
2025 May	161	Master	21	Derby_Daz	54	Labyrinth - Hard	-17	-17	scored	false	5	period-161-division-21.html
2025 May	161	Master	21	Slappy	1705	Labyrinth - Hard	-16	-16	scored	false	9	period-161-division-21.html
2025 May	161	Master	21	Matt916	32	Labyrinth - Hard	-14	-14	scored	false	10	period-161-division-21.html
2025 May	161	Master	21	Mully	88	Labyrinth - Hard	6	6	scored	false	7	period-161-division-21.html
2025 May	161	Master	21	Derby_Daz	54	Meow Wolf	-24	-24	scored	false	5	period-161-division-21.html
2025 May	161	Master	21	Mully	88	Meow Wolf	-24	-24	scored	false	7	period-161-division-21.html
2025 May	161	Master	21	El Jorge	24	Meow Wolf	-23	-23	scored	false	1	period-161-division-21.html
2025 May	161	Master	21	yankeedude1123	4927	Meow Wolf	-23	-23	scored	false	8	period-161-division-21.html
2025 May	161	Master	21	Neo Impossible	1205	Meow Wolf	-22	-22	scored	false	4	period-161-division-21.html
2025 May	161	Master	21	Princess_Bankshot	4945	Meow Wolf	-22	-22	scored	false	3	period-161-division-21.html
2025 May	161	Master	21	leanin2it	6950	Meow Wolf	-20	-20	scored	false	2	period-161-division-21.html
2025 May	161	Master	21	Gobson	4645	Meow Wolf	-20	-20	scored	false	6	period-161-division-21.html
2025 May	161	Master	21	Slappy	1705	Meow Wolf	-18	-18	scored	false	9	period-161-division-21.html
2025 May	161	Master	21	Matt916	32	Meow Wolf			missing	true	10	period-161-division-21.html
2025 May	161	Master	21	Mully	88	Meow Wolf - Hard	-22	-22	scored	false	7	period-161-division-21.html
2025 May	161	Master	21	Gobson	4645	Meow Wolf - Hard	-20	-20	scored	false	6	period-161-division-21.html
2025 May	161	Master	21	Neo Impossible	1205	Meow Wolf - Hard	-20	-20	scored	false	4	period-161-division-21.html
2025 May	161	Master	21	Princess_Bankshot	4945	Meow Wolf - Hard	-20	-20	scored	false	3	period-161-division-21.html
2025 May	161	Master	21	yankeedude1123	4927	Meow Wolf - Hard	-19	-19	scored	false	8	period-161-division-21.html
2025 May	161	Master	21	El Jorge	24	Meow Wolf - Hard	-18	-18	scored	false	1	period-161-division-21.html
2025 May	161	Master	21	Slappy	1705	Meow Wolf - Hard	-18	-18	scored	false	9	period-161-division-21.html
2025 May	161	Master	21	leanin2it	6950	Meow Wolf - Hard	-17	-17	scored	false	2	period-161-division-21.html
2025 May	161	Master	21	Derby_Daz	54	Meow Wolf - Hard	-16	-16	scored	false	5	period-161-division-21.html
2025 May	161	Master	21	Matt916	32	Meow Wolf - Hard			missing	true	10	period-161-division-21.html
2025 May	161	Master	21	leanin2it	6950	Raptor Cliff's	-26	-26	scored	false	2	period-161-division-21.html
2025 May	161	Master	21	El Jorge	24	Raptor Cliff's	-25	-25	scored	false	1	period-161-division-21.html
2025 May	161	Master	21	Derby_Daz	54	Raptor Cliff's	-24	-24	scored	false	5	period-161-division-21.html
2025 May	161	Master	21	Princess_Bankshot	4945	Raptor Cliff's	-22	-22	scored	false	3	period-161-division-21.html
2025 May	161	Master	21	Neo Impossible	1205	Raptor Cliff's	-20	-20	scored	false	4	period-161-division-21.html
2025 May	161	Master	21	Slappy	1705	Raptor Cliff's	-19	-19	scored	false	9	period-161-division-21.html
2025 May	161	Master	21	yankeedude1123	4927	Raptor Cliff's	-18	-18	scored	false	8	period-161-division-21.html
2025 May	161	Master	21	Gobson	4645	Raptor Cliff's	-17	-17	scored	false	6	period-161-division-21.html
2025 May	161	Master	21	Mully	88	Raptor Cliff's	-16	-16	scored	false	7	period-161-division-21.html
2025 May	161	Master	21	Matt916	32	Raptor Cliff's			missing	true	10	period-161-division-21.html
2025 May	161	Master	21	leanin2it	6950	Raptor Cliff's - Hard	-21	-21	scored	false	2	period-161-division-21.html
2025 May	161	Master	21	El Jorge	24	Raptor Cliff's - Hard	-20	-20	scored	false	1	period-161-division-21.html
2025 May	161	Master	21	Gobson	4645	Raptor Cliff's - Hard	-19	-19	scored	false	6	period-161-division-21.html
2025 May	161	Master	21	Neo Impossible	1205	Raptor Cliff's - Hard	-17	-17	scored	false	4	period-161-division-21.html
2025 May	161	Master	21	yankeedude1123	4927	Raptor Cliff's - Hard	-16	-16	scored	false	8	period-161-division-21.html
2025 May	161	Master	21	Derby_Daz	54	Raptor Cliff's - Hard	-15	-15	scored	false	5	period-161-division-21.html
2025 May	161	Master	21	Princess_Bankshot	4945	Raptor Cliff's - Hard	-14	-14	scored	false	3	period-161-division-21.html
2025 May	161	Master	21	Slappy	1705	Raptor Cliff's - Hard	-6	-6	scored	false	9	period-161-division-21.html
2025 May	161	Master	21	Mully	88	Raptor Cliff's - Hard	-2	-2	scored	false	7	period-161-division-21.html
2025 May	161	Master	21	Matt916	32	Raptor Cliff's - Hard			missing	true	10	period-161-division-21.html
2025 August	221	Master	21	POLANECE	7948	El Dorado	-26	-26	scored	false	1	period-221-division-21.html
2025 August	221	Master	21	El Jorge	24	El Dorado	-25	-25	scored	false	3	period-221-division-21.html
2025 August	221	Master	21	Derby_Daz	54	El Dorado	-24	-24	scored	false	9	period-221-division-21.html
2025 August	221	Master	21	INDY	22	El Dorado	-23	-23	scored	false	2	period-221-division-21.html
2025 August	221	Master	21	Mully	88	El Dorado	-23	-23	scored	false	4	period-221-division-21.html
2025 August	221	Master	21	Princess_Bankshot	4945	El Dorado	-21	-21	scored	false	6	period-221-division-21.html
2025 August	221	Master	21	Gobson	4645	El Dorado	-20	-20	scored	false	5	period-221-division-21.html
2025 August	221	Master	21	l7jazz	7908	El Dorado	-19	-19	scored	false	7	period-221-division-21.html
2025 August	221	Master	21	DaisyShaw	7848	El Dorado			missing	true		period-221-division-21.html
2025 August	221	Master	21	YODA	105	El Dorado			missing	true	8	period-221-division-21.html
2025 August	221	Master	21	POLANECE	7948	El Dorado Hard	-23	-23	scored	false	1	period-221-division-21.html
2025 August	221	Master	21	YODA	105	El Dorado Hard	-21	-21	scored	false	8	period-221-division-21.html
2025 August	221	Master	21	El Jorge	24	El Dorado Hard	-21	-21	scored	false	3	period-221-division-21.html
2025 August	221	Master	21	Mully	88	El Dorado Hard	-20	-20	scored	false	4	period-221-division-21.html
2025 August	221	Master	21	Gobson	4645	El Dorado Hard	-17	-17	scored	false	5	period-221-division-21.html
2025 August	221	Master	21	INDY	22	El Dorado Hard	-17	-17	scored	false	2	period-221-division-21.html
2025 August	221	Master	21	Derby_Daz	54	El Dorado Hard	-14	-14	scored	false	9	period-221-division-21.html
2025 August	221	Master	21	l7jazz	7908	El Dorado Hard	-11	-11	scored	false	7	period-221-division-21.html
2025 August	221	Master	21	Princess_Bankshot	4945	El Dorado Hard	-9	-9	scored	false	6	period-221-division-21.html
2025 August	221	Master	21	DaisyShaw	7848	El Dorado Hard			missing	true		period-221-division-21.html
2025 August	221	Master	21	INDY	22	Atlantis	-27	-27	scored	false	2	period-221-division-21.html
2025 August	221	Master	21	Princess_Bankshot	4945	Atlantis	-26	-26	scored	false	6	period-221-division-21.html
2025 August	221	Master	21	Mully	88	Atlantis	-26	-26	scored	false	4	period-221-division-21.html
2025 August	221	Master	21	POLANECE	7948	Atlantis	-25	-25	scored	false	1	period-221-division-21.html
2025 August	221	Master	21	YODA	105	Atlantis	-24	-24	scored	false	8	period-221-division-21.html
2025 August	221	Master	21	Derby_Daz	54	Atlantis	-24	-24	scored	false	9	period-221-division-21.html
2025 August	221	Master	21	El Jorge	24	Atlantis	-22	-22	scored	false	3	period-221-division-21.html
2025 August	221	Master	21	l7jazz	7908	Atlantis	-19	-19	scored	false	7	period-221-division-21.html
2025 August	221	Master	21	Gobson	4645	Atlantis	-18	-18	scored	false	5	period-221-division-21.html
2025 August	221	Master	21	DaisyShaw	7848	Atlantis			missing	true		period-221-division-21.html
2025 August	221	Master	21	Gobson	4645	Atlantis Hard	-19	-19	scored	false	5	period-221-division-21.html
2025 August	221	Master	21	POLANECE	7948	Atlantis Hard	-18	-18	scored	false	1	period-221-division-21.html
2025 August	221	Master	21	Derby_Daz	54	Atlantis Hard	-18	-18	scored	false	9	period-221-division-21.html
2025 August	221	Master	21	YODA	105	Atlantis Hard	-17	-17	scored	false	8	period-221-division-21.html
2025 August	221	Master	21	INDY	22	Atlantis Hard	-16	-16	scored	false	2	period-221-division-21.html
2025 August	221	Master	21	Mully	88	Atlantis Hard	-14	-14	scored	false	4	period-221-division-21.html
2025 August	221	Master	21	Princess_Bankshot	4945	Atlantis Hard	-13	-13	scored	false	6	period-221-division-21.html
2025 August	221	Master	21	El Jorge	24	Atlantis Hard	-12	-12	scored	false	3	period-221-division-21.html
2025 August	221	Master	21	l7jazz	7908	Atlantis Hard	-10	-10	scored	false	7	period-221-division-21.html
2025 August	221	Master	21	DaisyShaw	7848	Atlantis Hard			missing	true		period-221-division-21.html
2025 August	221	Master	21	INDY	22	Alfheim	-25	-25	scored	false	2	period-221-division-21.html
2025 August	221	Master	21	Mully	88	Alfheim	-24	-24	scored	false	4	period-221-division-21.html
2025 August	221	Master	21	Gobson	4645	Alfheim	-22	-22	scored	false	5	period-221-division-21.html
2025 August	221	Master	21	POLANECE	7948	Alfheim	-22	-22	scored	false	1	period-221-division-21.html
2025 August	221	Master	21	El Jorge	24	Alfheim	-22	-22	scored	false	3	period-221-division-21.html
2025 August	221	Master	21	Princess_Bankshot	4945	Alfheim	-19	-19	scored	false	6	period-221-division-21.html
2025 August	221	Master	21	l7jazz	7908	Alfheim	-16	-16	scored	false	7	period-221-division-21.html
2025 August	221	Master	21	Derby_Daz	54	Alfheim			missing	true	9	period-221-division-21.html
2025 August	221	Master	21	DaisyShaw	7848	Alfheim			missing	true		period-221-division-21.html
