repetition	period	period_id	division	division_source_value	leader_rows	course_tables	player_counts_per_course	observations	scored	missing	dom_sha256	structured_json_sha256	row_data_sha256	html_file	text_file	json_file	screenshot_file	exact_player_names
1	2026 April	381	Semi Pro 2	114	8	8	Labyrinth:8;Labyrinth - Hard:8;El Dorado:8;El Dorado Hard:8;Wallace & Gromit:8;Wallace & Gromit - Hard:8;8-Bit Lair:8;8-Bit Lair - Hard:8	64	54	10	1CE07C70D72515215B16699237012B67849F6C824E001A21E453B15387E6078D	DDF9FE4A5A029AFC524B38E4380F7A1D7BBE537316F1BF0F1829B077C09D937B	B08B70CC68068610F2638F383791B20D192B58C1410EEF6DD6840BBCB50F624C	raw\reproduction\repro-1-period-381-division-114.html	raw\reproduction\repro-1-period-381-division-114.txt	raw\reproduction\repro-1-period-381-division-114.json	raw\reproduction\repro-1-period-381-division-114.png	["DARLAVA","SMILEROBIN","Heisenberg","Sj_76","WendyW(Wyndemere2020)","Bearded_Driver","IMJOMAMA","Bethann"]
2	2026 April	381	Semi Pro 2	114	8	8	Labyrinth:8;Labyrinth - Hard:8;El Dorado:8;El Dorado Hard:8;Wallace & Gromit:8;Wallace & Gromit - Hard:8;8-Bit Lair:8;8-Bit Lair - Hard:8	64	54	10	8893881B05474E6CBB0C259809990ABD2DE8FC8A4F23F7A91FFA54892964734B	C10C2FEB6D7F0215DC14749A83CE0BA82326137CA5DD3C22DDC5BA076F77EB0B	B08B70CC68068610F2638F383791B20D192B58C1410EEF6DD6840BBCB50F624C	raw\reproduction\repro-2-period-381-division-114.html	raw\reproduction\repro-2-period-381-division-114.txt	raw\reproduction\repro-2-period-381-division-114.json	raw\reproduction\repro-2-period-381-division-114.png	["DARLAVA","SMILEROBIN","Heisenberg","Sj_76","WendyW(Wyndemere2020)","Bearded_Driver","IMJOMAMA","Bethann"]
3	2026 April	381	Semi Pro 2	114	8	8	Labyrinth:8;Labyrinth - Hard:8;El Dorado:8;El Dorado Hard:8;Wallace & Gromit:8;Wallace & Gromit - Hard:8;8-Bit Lair:8;8-Bit Lair - Hard:8	64	54	10	041BBBB4BAB1F107EC24E5E65A0125EA1747280AF7D915FF71E9FB6AFC76E506	E615F5E72968F53CC8912CDCE12A7C136DF92025378F30DF46BD4DCE053C11D4	B08B70CC68068610F2638F383791B20D192B58C1410EEF6DD6840BBCB50F624C	raw\reproduction\repro-3-period-381-division-114.html	raw\reproduction\repro-3-period-381-division-114.txt	raw\reproduction\repro-3-period-381-division-114.json	raw\reproduction\repro-3-period-381-division-114.png	["DARLAVA","SMILEROBIN","Heisenberg","Sj_76","WendyW(Wyndemere2020)","Bearded_Driver","IMJOMAMA","Bethann"]
1	2026 May	401	Semi Pro 2	114	7	8	Quixote Valley:7;Quixote Valley Hard:7;Atlantis:7;Atlantis Hard:7;Raptor Cliff's:7;Raptor Cliff's - Hard:7;Tokyo:7;Tokyo - Hard:7	56	28	28	7E32A4E87E28C002C22BDDDF7B78310560EEBA0A1DD51F02D4DDF434DA30A703	F0FB6821A25668A4F44CBC59977C5B3BE79541EA5B6376015DF4DDDB224A7055	F34B1801DA23902A20407882ED80C7967A0718A229982F3A4D2F7E796A6BA946	raw\reproduction\repro-1-period-401-division-114.html	raw\reproduction\repro-1-period-401-division-114.txt	raw\reproduction\repro-1-period-401-division-114.json	raw\reproduction\repro-1-period-401-division-114.png	["KillERBee","WendyW(Wyndemere2020)","IMJOMAMA","Heisenberg","DARLAVA","nootnootthesnek","SHA_HOOF_NA"]
2	2026 May	401	Semi Pro 2	114	7	8	Quixote Valley:7;Quixote Valley Hard:7;Atlantis:7;Atlantis Hard:7;Raptor Cliff's:7;Raptor Cliff's - Hard:7;Tokyo:7;Tokyo - Hard:7	56	28	28	3155470FA5C3009D737011803DE8D83D5544BBCB30911B040EB81F5EE91840AF	F353D00B49F2E009F982398941341E82CE4B1D073D08F55FC2A6C703AE098930	F34B1801DA23902A20407882ED80C7967A0718A229982F3A4D2F7E796A6BA946	raw\reproduction\repro-2-period-401-division-114.html	raw\reproduction\repro-2-period-401-division-114.txt	raw\reproduction\repro-2-period-401-division-114.json	raw\reproduction\repro-2-period-401-division-114.png	["KillERBee","WendyW(Wyndemere2020)","IMJOMAMA","Heisenberg","DARLAVA","nootnootthesnek","SHA_HOOF_NA"]
3	2026 May	401	Semi Pro 2	114	7	8	Quixote Valley:7;Quixote Valley Hard:7;Atlantis:7;Atlantis Hard:7;Raptor Cliff's:7;Raptor Cliff's - Hard:7;Tokyo:7;Tokyo - Hard:7	56	28	28	5729DA42F584078AC5307597BE221783E640DB22FF09B38F78CB96F2E5FF0E8E	ACB18D973F186913B3E42B84BAD62D22DC9F84D0F8023DA2403659BF3DC4AD9B	F34B1801DA23902A20407882ED80C7967A0718A229982F3A4D2F7E796A6BA946	raw\reproduction\repro-3-period-401-division-114.html	raw\reproduction\repro-3-period-401-division-114.txt	raw\reproduction\repro-3-period-401-division-114.json	raw\reproduction\repro-3-period-401-division-114.png	["KillERBee","WendyW(Wyndemere2020)","IMJOMAMA","Heisenberg","DARLAVA","nootnootthesnek","SHA_HOOF_NA"]
1	2026 May	401	Semi Pro 3	115	7	8	Quixote Valley:7;Quixote Valley Hard:7;Atlantis:7;Atlantis Hard:7;Raptor Cliff's:7;Raptor Cliff's - Hard:7;Tokyo:7;Tokyo - Hard:7	56	10	46	5D395015F0A0B9B83F03C77247A4E0C3BFAADC246A5D1AF562E5D8D328441C38	557415B80274B9E832B965F29E51E87B4446A513A429206C780D1CC0DFEA8115	75E3FE76D4284CFB0D7751ABC67D3D1A0A920A02B83220A53E9EFD3A6415801B	raw\reproduction\repro-1-period-401-division-115.html	raw\reproduction\repro-1-period-401-division-115.txt	raw\reproduction\repro-1-period-401-division-115.json	raw\reproduction\repro-1-period-401-division-115.png	["Maximus_PrimeIV","Bethann","Gatorsfan89","HaphazardOak007","ANDOFGOD","Fry_Lock","sarahloo1971"]
2	2026 May	401	Semi Pro 3	115	7	8	Quixote Valley:7;Quixote Valley Hard:7;Atlantis:7;Atlantis Hard:7;Raptor Cliff's:7;Raptor Cliff's - Hard:7;Tokyo:7;Tokyo - Hard:7	56	10	46	84811F4AA1EF167F64317464C0CE84C94D08334432BC7B0CB5FDC44CD599E789	97AD711AC24ED1D323961B2EC9F837C0C4E21FACDE8D8F2C2CF44D6E8081AB1A	75E3FE76D4284CFB0D7751ABC67D3D1A0A920A02B83220A53E9EFD3A6415801B	raw\reproduction\repro-2-period-401-division-115.html	raw\reproduction\repro-2-period-401-division-115.txt	raw\reproduction\repro-2-period-401-division-115.json	raw\reproduction\repro-2-period-401-division-115.png	["Maximus_PrimeIV","Bethann","Gatorsfan89","HaphazardOak007","ANDOFGOD","Fry_Lock","sarahloo1971"]
3	2026 May	401	Semi Pro 3	115	7	8	Quixote Valley:7;Quixote Valley Hard:7;Atlantis:7;Atlantis Hard:7;Raptor Cliff's:7;Raptor Cliff's - Hard:7;Tokyo:7;Tokyo - Hard:7	56	10	46	9F5DB1B4CEADDA94061BCF84E9394165A2AB5F7D153DF9D026DC80A74AA8925F	D0C682A5E1FF410ED07E41A6717705C3426E4BFB39D5AE4F4159BB1A4E2A57BC	75E3FE76D4284CFB0D7751ABC67D3D1A0A920A02B83220A53E9EFD3A6415801B	raw\reproduction\repro-3-period-401-division-115.html	raw\reproduction\repro-3-period-401-division-115.txt	raw\reproduction\repro-3-period-401-division-115.json	raw\reproduction\repro-3-period-401-division-115.png	["Maximus_PrimeIV","Bethann","Gatorsfan89","HaphazardOak007","ANDOFGOD","Fry_Lock","sarahloo1971"]
1	2026 June	421	Semi Pro 2	114	6	8	Seagull Stacks:6;Seagull Stacks - Hard:6;Bogey's Bonanza:6;Bogey's Bonanza Hard:6;Journey to the Center of the Earth:6;Center of the Earth - Hard:6;Alfheim:6;Alfheim Hard:6	48	25	23	1CFB31D9C6BED64B085DEB9F9CD1C9C6E212EB743313E7834311B7E2650CCCA7	EE57F14D5072B82C605032C81B7939E0DAA468A507A4439235D2B3C2B10848E7	7DD60200B4C5AEF1BC6FB346DEBF7795F44359A3C82479A93BFA1AA32339AF43	raw\reproduction\repro-1-period-421-division-114.html	raw\reproduction\repro-1-period-421-division-114.txt	raw\reproduction\repro-1-period-421-division-114.json	raw\reproduction\repro-1-period-421-division-114.png	["ladytea","Heisenberg","Bethann","Earthling","DARLAVA","Maximus_PrimeIV"]
