logical_observation_key	classification	import_decision	period	period_id	division	division_id	source_player_id	historical_player_name	course_name	difficulty	old_score_text	new_score_text	repaired_source_fingerprint	old_source_row	fresh_source_row	fresh_raw_sha256
101|21|id:1205|El Dorado|easy	NEW_ONLY	INCLUDE	2025 February	101	Master	21	1205	Neo Impossible	El Dorado	easy		-24	5fdb5ce70da2896cca0e5c58ecbca20e29c4ecb070c21c7eefd7f25b71764234		12377	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C
101|21|id:1205|El Dorado|hard	NEW_ONLY	INCLUDE	2025 February	101	Master	21	1205	Neo Impossible	El Dorado	hard		-22	da1190e8053ab4108de6e5a5016661b5c1880d5fe60338e55d84cd502184659f		12385	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C
101|21|id:1205|Gardens of Babylon|easy	NEW_ONLY	INCLUDE	2025 February	101	Master	21	1205	Neo Impossible	Gardens of Babylon	easy		-26	e89a801a55c00613d429c96e36332d0d45461821d74dd03b5e49c0f6dcd6f1a6		12359	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C
101|21|id:1205|Gardens of Babylon|hard	NEW_ONLY	INCLUDE	2025 February	101	Master	21	1205	Neo Impossible	Gardens of Babylon	hard		-18	cadcc42b367a87193069ae99f665d9bd59972b703deba079d6ab9c74ee70a965		12370	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C
101|21|id:1205|Viva Las Elvis|easy	NEW_ONLY	INCLUDE	2025 February	101	Master	21	1205	Neo Impossible	Viva Las Elvis	easy		-20	65d4aff54072f046f275047f472a8dd275c59db7c17f4ed32a30120f8dadc42d		12420	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C
101|21|id:1205|Viva Las Elvis|hard	NEW_ONLY	INCLUDE	2025 February	101	Master	21	1205	Neo Impossible	Viva Las Elvis	hard		-19	7ccea28c038d89c38cc13be62c37070c1709fb12f5d30603ab391f8b184edefc		12429	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C
101|21|id:1205|Wallace & Gromit|easy	NEW_ONLY	INCLUDE	2025 February	101	Master	21	1205	Neo Impossible	Wallace & Gromit	easy		-23	6e6e6500f9db0acc4ec867033012657a4ba02b131cef1deec82a9c4fad7dd8e2		12402	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C
101|21|id:1205|Wallace & Gromit|hard	NEW_ONLY	INCLUDE	2025 February	101	Master	21	1205	Neo Impossible	Wallace & Gromit	hard		-16	29c065c0b86ebdb915cacd36e830227dd3e0bc068ec1dd8571da12ea4766d755		12406	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C
101|21|id:24|El Dorado|easy	NEW_ONLY	INCLUDE	2025 February	101	Master	21	24	El Jorge	El Dorado	easy		-24	46d598a9e06efd7c30287d3089c502d0eb1de77964153f08df65819986db8a9d		12375	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C
101|21|id:24|El Dorado|hard	NEW_ONLY	INCLUDE	2025 February	101	Master	21	24	El Jorge	El Dorado	hard		-20	05d8312a1555da06ae6c1e8b1dd856afdebb29953ee8552e83cb02848643dafb		12388	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C
