source_row	logical_observation_key	merge_status	repaired_source_fingerprint	period	year	month	period_id	division	division_id	historical_player_name	source_player_id	course_name	difficulty	score_text	score_numeric	played_state	hole_in_ones	course_placement	course_points	overall_placement	courses_played	total_strokes	overall_hole_in_ones	overall_points	source_url	old_source_row	fresh_source_row	fresh_raw_sha256	fresh_raw_file	provenance_sources
1	101|21|id:1205|El Dorado|easy	NEW_ONLY	5fdb5ce70da2896cca0e5c58ecbca20e29c4ecb070c21c7eefd7f25b71764234	2025 February	2025	2	101	Master	21	Neo Impossible	1205	El Dorado	easy	-24	-24	PLAYED	1	5	161						https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:21		12377	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C	full-public-score-recovery/raw/period-101-division-21.json	FRESH_PUBLIC
2	101|21|id:1205|El Dorado|hard	NEW_ONLY	da1190e8053ab4108de6e5a5016661b5c1880d5fe60338e55d84cd502184659f	2025 February	2025	2	101	Master	21	Neo Impossible	1205	El Dorado	hard	-22	-22	PLAYED	1	2	191						https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:21		12385	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C	full-public-score-recovery/raw/period-101-division-21.json	FRESH_PUBLIC
3	101|21|id:1205|Gardens of Babylon|easy	NEW_ONLY	e89a801a55c00613d429c96e36332d0d45461821d74dd03b5e49c0f6dcd6f1a6	2025 February	2025	2	101	Master	21	Neo Impossible	1205	Gardens of Babylon	easy	-26	-26	PLAYED	3	7	143						https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:21		12359	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C	full-public-score-recovery/raw/period-101-division-21.json	FRESH_PUBLIC
4	101|21|id:1205|Gardens of Babylon|hard	NEW_ONLY	cadcc42b367a87193069ae99f665d9bd59972b703deba079d6ab9c74ee70a965	2025 February	2025	2	101	Master	21	Neo Impossible	1205	Gardens of Babylon	hard	-18	-18	PLAYED	1	8	131						https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:21		12370	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C	full-public-score-recovery/raw/period-101-division-21.json	FRESH_PUBLIC
5	101|21|id:1205|Viva Las Elvis|easy	NEW_ONLY	65d4aff54072f046f275047f472a8dd275c59db7c17f4ed32a30120f8dadc42d	2025 February	2025	2	101	Master	21	Neo Impossible	1205	Viva Las Elvis	easy	-20	-20	PLAYED	2	7	142						https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:21		12420	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C	full-public-score-recovery/raw/period-101-division-21.json	FRESH_PUBLIC
6	101|21|id:1205|Viva Las Elvis|hard	NEW_ONLY	7ccea28c038d89c38cc13be62c37070c1709fb12f5d30603ab391f8b184edefc	2025 February	2025	2	101	Master	21	Neo Impossible	1205	Viva Las Elvis	hard	-19	-19	PLAYED	4	7	144						https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:21		12429	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C	full-public-score-recovery/raw/period-101-division-21.json	FRESH_PUBLIC
7	101|21|id:1205|Wallace & Gromit|easy	NEW_ONLY	6e6e6500f9db0acc4ec867033012657a4ba02b131cef1deec82a9c4fad7dd8e2	2025 February	2025	2	101	Master	21	Neo Impossible	1205	Wallace & Gromit	easy	-23	-23	PLAYED	6	8	136						https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:21		12402	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C	full-public-score-recovery/raw/period-101-division-21.json	FRESH_PUBLIC
8	101|21|id:1205|Wallace & Gromit|hard	NEW_ONLY	29c065c0b86ebdb915cacd36e830227dd3e0bc068ec1dd8571da12ea4766d755	2025 February	2025	2	101	Master	21	Neo Impossible	1205	Wallace & Gromit	hard	-16	-16	PLAYED	2	4	172						https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:21		12406	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C	full-public-score-recovery/raw/period-101-division-21.json	FRESH_PUBLIC
9	101|21|id:24|El Dorado|easy	NEW_ONLY	46d598a9e06efd7c30287d3089c502d0eb1de77964153f08df65819986db8a9d	2025 February	2025	2	101	Master	21	El Jorge	24	El Dorado	easy	-24	-24	PLAYED	3	3	183						https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:21		12375	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C	full-public-score-recovery/raw/period-101-division-21.json	FRESH_PUBLIC
10	101|21|id:24|El Dorado|hard	NEW_ONLY	05d8312a1555da06ae6c1e8b1dd856afdebb29953ee8552e83cb02848643dafb	2025 February	2025	2	101	Master	21	El Jorge	24	El Dorado	hard	-20	-20	PLAYED	1	6	151						https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:21		12388	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C	full-public-score-recovery/raw/period-101-division-21.json	FRESH_PUBLIC
11	101|21|id:24|Gardens of Babylon|easy	NEW_ONLY	111a6f0328095b44d67b26fe4caaad7b2b3bfde5956a22355dc98128e3ea36b3	2025 February	2025	2	101	Master	21	El Jorge	24	Gardens of Babylon	easy	-27	-27	PLAYED	3	4	173						https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:21		12356	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C	full-public-score-recovery/raw/period-101-division-21.json	FRESH_PUBLIC
12	101|21|id:24|Gardens of Babylon|hard	NEW_ONLY	92502f13ff8b05983151b39007a505d3598fe3a4de24c77eb6a74f9bc7a99cea	2025 February	2025	2	101	Master	21	El Jorge	24	Gardens of Babylon	hard	-20	-20	PLAYED	2	5	162						https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:21		12367	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C	full-public-score-recovery/raw/period-101-division-21.json	FRESH_PUBLIC
13	101|21|id:24|Viva Las Elvis|easy	NEW_ONLY	9f27f32c0a43cc85d1253cf27ff5af0926168371bc2c8d6a7702af55e1cee967	2025 February	2025	2	101	Master	21	El Jorge	24	Viva Las Elvis	easy	-20	-20	PLAYED	3	5	163						https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:21		12417	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C	full-public-score-recovery/raw/period-101-division-21.json	FRESH_PUBLIC
14	101|21|id:24|Viva Las Elvis|hard	NEW_ONLY	fc9970ca7546e0acc630b44d1da19ce45103b2c498291e3f4c61e3e1eadeb4b9	2025 February	2025	2	101	Master	21	El Jorge	24	Viva Las Elvis	hard	-21	-21	PLAYED	4	3	184						https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:21		12425	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C	full-public-score-recovery/raw/period-101-division-21.json	FRESH_PUBLIC
15	101|21|id:24|Wallace & Gromit|easy	NEW_ONLY	57dd702763b0a3a600d4ae7e9b28743f72727e8a27360abb0cb1240c28f919d7	2025 February	2025	2	101	Master	21	El Jorge	24	Wallace & Gromit	easy	-28	-28	PLAYED	9	1	209						https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:21		12393	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C	full-public-score-recovery/raw/period-101-division-21.json	FRESH_PUBLIC
16	101|21|id:24|Wallace & Gromit|hard	NEW_ONLY	c905a9b4cf63de08d794314bf4c0e1f952f5a36dfc0243cf18004167d694d89a	2025 February	2025	2	101	Master	21	El Jorge	24	Wallace & Gromit	hard	-11	-11	PLAYED	1	9	121						https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:21		12411	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C	full-public-score-recovery/raw/period-101-division-21.json	FRESH_PUBLIC
17	101|21|id:36|El Dorado|easy	NEW_ONLY	0bc55e9573d54ffeca325aab79f2da17c5b84ca49ceeac444ea5d1911bab8f1e	2025 February	2025	2	101	Master	21	stewiestewie	36	El Dorado	easy	-23	-23	PLAYED	2	6	152						https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:21		12378	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C	full-public-score-recovery/raw/period-101-division-21.json	FRESH_PUBLIC
18	101|21|id:36|El Dorado|hard	NEW_ONLY	af5704b085ca71b88a0ab980cedb939f1c3cb00be1b3201487ae2089798a15bd	2025 February	2025	2	101	Master	21	stewiestewie	36	El Dorado	hard	-11	-11	PLAYED	1	9	121						https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:21		12391	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C	full-public-score-recovery/raw/period-101-division-21.json	FRESH_PUBLIC
