source_row	logical_observation_key	merge_status	repaired_source_fingerprint	period	year	month	period_id	division	division_id	historical_player_name	source_player_id	course_name	difficulty	score_text	score_numeric	played_state	hole_in_ones	course_placement	course_points	overall_placement	courses_played	total_strokes	overall_hole_in_ones	overall_points	source_url	old_source_row	fresh_source_row	fresh_raw_sha256	fresh_raw_file	provenance_sources
20	101|21|id:36|Gardens of Babylon|hard	NEW_ONLY	f8fd1a07fd3b1b853eaa0d0e5cf0e1e62a8526a4425654c4394c2b2cea3d183c	2025 February	2025	2	101	Master	21	stewiestewie	36	Gardens of Babylon	hard			UNPLAYED									https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:21		12372	F9144141B5D686D3C39A942B3BFD313B7800B07A004CD5F22D7E6056EB51DF3C	full-public-score-recovery/raw/period-101-division-21.json	FRESH_PUBLIC
115	101|22|id:36|Gardens of Babylon Hard|hard	OLD_ONLY	aadc425995e4da2787b987526644db8bab8169ccf506bbd880e08258021256bc	2025 February	2025	2	101	Elite	22	stewiestewie	36	Gardens of Babylon Hard	hard			UNPLAYED				10	7	-120	22	932	https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/r/wmgt/monthly/home	2330				OLD_RETAINED
129	101|22|id:46|El Dorado|easy	NEW_ONLY	55e415a31f0c88a928eeb9fbc82f0b1f8817d3e8c777444b5f02d7c1e03d501e	2025 February	2025	2	101	Elite	22	SQUEEZY_JIBBZ	46	El Dorado	easy			UNPLAYED									https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:22		12462	8C1B041CE82BD2AFB992057B39A046AFB1302CFD87333BF806CB1CE299498968	full-public-score-recovery/raw/period-101-division-22.json	FRESH_PUBLIC
130	101|22|id:46|El Dorado|hard	NEW_ONLY	2bf953b7306be3ef054669a7bc9abd012fcbc776344cb7b1fdc0882f82f6dd2a	2025 February	2025	2	101	Elite	22	SQUEEZY_JIBBZ	46	El Dorado	hard			UNPLAYED									https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:22		12471	8C1B041CE82BD2AFB992057B39A046AFB1302CFD87333BF806CB1CE299498968	full-public-score-recovery/raw/period-101-division-22.json	FRESH_PUBLIC
186	101|22|id:65|El Dorado|hard	NEW_ONLY	71caf3cd64386b9041e2ed3b251ddc7f23b4e5bd4c7dbee5ec17e0bb0d1223bc	2025 February	2025	2	101	Elite	22	deebee	65	El Dorado	hard			UNPLAYED									https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:22		12472	8C1B041CE82BD2AFB992057B39A046AFB1302CFD87333BF806CB1CE299498968	full-public-score-recovery/raw/period-101-division-22.json	FRESH_PUBLIC
225	101|22|id:7768|El Dorado|easy	NEW_ONLY	4d911e07447b0bd3ecd12721d2adf126177def0876c7f3b23f35429e0038af54	2025 February	2025	2	101	Elite	22	LuckyOrSucky	7768	El Dorado	easy			UNPLAYED									https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:22		12461	8C1B041CE82BD2AFB992057B39A046AFB1302CFD87333BF806CB1CE299498968	full-public-score-recovery/raw/period-101-division-22.json	FRESH_PUBLIC
226	101|22|id:7768|El Dorado|hard	NEW_ONLY	e49efbd89ee21bd554e8564da9137ca805eb0730e5dec879f3a77e6f4cb4e384	2025 February	2025	2	101	Elite	22	LuckyOrSucky	7768	El Dorado	hard			UNPLAYED									https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:22		12470	8C1B041CE82BD2AFB992057B39A046AFB1302CFD87333BF806CB1CE299498968	full-public-score-recovery/raw/period-101-division-22.json	FRESH_PUBLIC
227	101|22|id:7768|Gardens of Babylon|easy	NEW_ONLY	3a9a08940c3c286ff8c58fb3441c601157d497668d1f10fc0811b5634f745037	2025 February	2025	2	101	Elite	22	LuckyOrSucky	7768	Gardens of Babylon	easy			UNPLAYED									https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:22		12442	8C1B041CE82BD2AFB992057B39A046AFB1302CFD87333BF806CB1CE299498968	full-public-score-recovery/raw/period-101-division-22.json	FRESH_PUBLIC
228	101|22|id:7768|Gardens of Babylon|hard	NEW_ONLY	411ab0e071f7636cdb31c90e529bec12106036450fc8613c274090bf6f9580cd	2025 February	2025	2	101	Elite	22	LuckyOrSucky	7768	Gardens of Babylon	hard			UNPLAYED									https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:22		12452	8C1B041CE82BD2AFB992057B39A046AFB1302CFD87333BF806CB1CE299498968	full-public-score-recovery/raw/period-101-division-22.json	FRESH_PUBLIC
229	101|22|id:7768|Viva Las Elvis|easy	NEW_ONLY	ed52a49ea8903f99e663026ca22b13bc715a60ca8761e9ec523243854ab43c06	2025 February	2025	2	101	Elite	22	LuckyOrSucky	7768	Viva Las Elvis	easy			UNPLAYED									https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:22		12502	8C1B041CE82BD2AFB992057B39A046AFB1302CFD87333BF806CB1CE299498968	full-public-score-recovery/raw/period-101-division-22.json	FRESH_PUBLIC
230	101|22|id:7768|Viva Las Elvis|hard	NEW_ONLY	6deb9805fa6acf1965241aa01fff6fbdf7a654c55cca88bacffd6d292d390466	2025 February	2025	2	101	Elite	22	LuckyOrSucky	7768	Viva Las Elvis	hard			UNPLAYED									https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:22		12512	8C1B041CE82BD2AFB992057B39A046AFB1302CFD87333BF806CB1CE299498968	full-public-score-recovery/raw/period-101-division-22.json	FRESH_PUBLIC
231	101|22|id:7768|Wallace & Gromit|easy	NEW_ONLY	0d725ae242d73793b1fbda9ea7e2407479f41327d1e732bbea56de8751da7bd2	2025 February	2025	2	101	Elite	22	LuckyOrSucky	7768	Wallace & Gromit	easy			UNPLAYED									https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:22		12482	8C1B041CE82BD2AFB992057B39A046AFB1302CFD87333BF806CB1CE299498968	full-public-score-recovery/raw/period-101-division-22.json	FRESH_PUBLIC
232	101|22|id:7768|Wallace & Gromit|hard	NEW_ONLY	bbb09309354c2eecb03a326d260b4db2f3a1613c6bbc5f691f246515f9f17a17	2025 February	2025	2	101	Elite	22	LuckyOrSucky	7768	Wallace & Gromit	hard			UNPLAYED									https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:22		12492	8C1B041CE82BD2AFB992057B39A046AFB1302CFD87333BF806CB1CE299498968	full-public-score-recovery/raw/period-101-division-22.json	FRESH_PUBLIC
393	101|24|id:7989|El Dorado|easy	NEW_ONLY	51d3e6a1cd1c0451889674e0afdbb887f3428563278f849faf6f4e39c67a1d74	2025 February	2025	2	101	Pro 2	24	CHIP_PUTTY	7989	El Dorado	easy			UNPLAYED									https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:24		12622	21EBA4253494F74EA34BEE2B51F6BC903B2575AFF93D7F12A10268BBE3CF44F2	full-public-score-recovery/raw/period-101-division-24.json	FRESH_PUBLIC
394	101|24|id:7989|El Dorado|hard	NEW_ONLY	84f565d3fa0b86cee5be48422c0a15f892fc3fb1fe3736f67964f45b39b01c7b	2025 February	2025	2	101	Pro 2	24	CHIP_PUTTY	7989	El Dorado	hard			UNPLAYED									https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:24		12632	21EBA4253494F74EA34BEE2B51F6BC903B2575AFF93D7F12A10268BBE3CF44F2	full-public-score-recovery/raw/period-101-division-24.json	FRESH_PUBLIC
395	101|24|id:7989|Gardens of Babylon|easy	NEW_ONLY	9c56d2788cf56ba34de9e43c41e527094b7db8352336dddd297763cd8533e4a7	2025 February	2025	2	101	Pro 2	24	CHIP_PUTTY	7989	Gardens of Babylon	easy			UNPLAYED									https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:24		12602	21EBA4253494F74EA34BEE2B51F6BC903B2575AFF93D7F12A10268BBE3CF44F2	full-public-score-recovery/raw/period-101-division-24.json	FRESH_PUBLIC
396	101|24|id:7989|Gardens of Babylon|hard	NEW_ONLY	5244020faf68534966d5fbce189a8e4c8d7ca62de28f5adf2f12651ae8e65f20	2025 February	2025	2	101	Pro 2	24	CHIP_PUTTY	7989	Gardens of Babylon	hard			UNPLAYED									https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:24		12612	21EBA4253494F74EA34BEE2B51F6BC903B2575AFF93D7F12A10268BBE3CF44F2	full-public-score-recovery/raw/period-101-division-24.json	FRESH_PUBLIC
397	101|24|id:7989|Viva Las Elvis|easy	NEW_ONLY	781a1a3df91b4c0647e8710bc3040da7033b44d374a36ca1e9d195a1d21eca05	2025 February	2025	2	101	Pro 2	24	CHIP_PUTTY	7989	Viva Las Elvis	easy			UNPLAYED									https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:24		12662	21EBA4253494F74EA34BEE2B51F6BC903B2575AFF93D7F12A10268BBE3CF44F2	full-public-score-recovery/raw/period-101-division-24.json	FRESH_PUBLIC
398	101|24|id:7989|Viva Las Elvis|hard	NEW_ONLY	9ab81a3bf22a5ba1e8c0b393319bedd56cecc0e4cb7a038261e5dc600b0f10ba	2025 February	2025	2	101	Pro 2	24	CHIP_PUTTY	7989	Viva Las Elvis	hard			UNPLAYED									https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:24		12672	21EBA4253494F74EA34BEE2B51F6BC903B2575AFF93D7F12A10268BBE3CF44F2	full-public-score-recovery/raw/period-101-division-24.json	FRESH_PUBLIC
399	101|24|id:7989|Wallace & Gromit|easy	NEW_ONLY	67160cfbd152a5dfb3339c09bd0ecf7e50d42dfc78c3e2b974a223fd6954e6bd	2025 February	2025	2	101	Pro 2	24	CHIP_PUTTY	7989	Wallace & Gromit	easy			UNPLAYED									https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:24		12642	21EBA4253494F74EA34BEE2B51F6BC903B2575AFF93D7F12A10268BBE3CF44F2	full-public-score-recovery/raw/period-101-division-24.json	FRESH_PUBLIC
400	101|24|id:7989|Wallace & Gromit|hard	NEW_ONLY	1cf0618ab445ad648dc482a4878edbf66503070d64f51834b14a6100cb129e23	2025 February	2025	2	101	Pro 2	24	CHIP_PUTTY	7989	Wallace & Gromit	hard			UNPLAYED									https://dqvo64m7q9ujvqa-wmgt23ai.adb.us-ashburn-1.oraclecloudapps.com/ords/f?p=500:1:::1:P1_LEAGUE_ID:24		12652	21EBA4253494F74EA34BEE2B51F6BC903B2575AFF93D7F12A10268BBE3CF44F2	full-public-score-recovery/raw/period-101-division-24.json	FRESH_PUBLIC
