conflict_key,period,division,historical_player_name,game_number,easy_score_a,hard_score_a,combined_total_a,easy_score_b,hard_score_b,combined_total_b,source_a,source_b,source_cells_a,source_cells_b,raw_source_data_a,raw_source_data_b,review_status
"W107|MULLIGAN|1","W107","Division 1","MULLIGAN","1","-20","-14","-34","-15","-18","-33","PRO WEEK CURRENT page 46 row 4","PRO WEEK CURRENT page 47 row 4","B4:W4","B4:W4","[""2"",""1st"",""MULLIGAN"",""2"",""1"",""1"",""3"",""-104"",""-20"",""-14"",""-34"","""",""1"",""-23"",""-15"",""-38"",""1"","""",""-22"",""-10"",""-32"","""",""""]","[""2"",""1st"",""MULLIGAN"",""2"",""2"",""0"",""6"",""-120"",""-15"",""-18"",""-33"","""","""",""-25"",""-22"",""-47"",""1"","""",""-27"",""-13"",""-40"",""1"",""""]","NEEDS KRYS REVIEW"
"W107|MULLIGAN|2","W107","Division 1","MULLIGAN","2","-23","-15","-38","-25","-22","-47","PRO WEEK CURRENT page 46 row 4","PRO WEEK CURRENT page 47 row 4","B4:W4","B4:W4","[""2"",""1st"",""MULLIGAN"",""2"",""1"",""1"",""3"",""-104"",""-20"",""-14"",""-34"","""",""1"",""-23"",""-15"",""-38"",""1"","""",""-22"",""-10"",""-32"","""",""""]","[""2"",""1st"",""MULLIGAN"",""2"",""2"",""0"",""6"",""-120"",""-15"",""-18"",""-33"","""","""",""-25"",""-22"",""-47"",""1"","""",""-27"",""-13"",""-40"",""1"",""""]","NEEDS KRYS REVIEW"
"W107|MULLIGAN|3","W107","Division 1","MULLIGAN","3","-22","-10","-32","-27","-13","-40","PRO WEEK CURRENT page 46 row 4","PRO WEEK CURRENT page 47 row 4","B4:W4","B4:W4","[""2"",""1st"",""MULLIGAN"",""2"",""1"",""1"",""3"",""-104"",""-20"",""-14"",""-34"","""",""1"",""-23"",""-15"",""-38"",""1"","""",""-22"",""-10"",""-32"","""",""""]","[""2"",""1st"",""MULLIGAN"",""2"",""2"",""0"",""6"",""-120"",""-15"",""-18"",""-33"","""","""",""-25"",""-22"",""-47"",""1"","""",""-27"",""-13"",""-40"",""1"",""""]","NEEDS KRYS REVIEW"
"W107|PRINCESS_BANKSHOT|1","W107","Division 1","PRINCESS_BANKSHOT","1","-23","-16","-39","-21","-23","-44","PRO WEEK CURRENT page 46 row 5","PRO WEEK CURRENT page 47 row 5","B5:W5","B5:W5","[""3"",""2nd"",""PRINCESS_BANKSHOT"",""2"",""1"",""1"",""3"",""-103"",""-23"",""-16"",""-39"",""1"","""",""-27"",""-15"",""-42"","""","""",""-20"",""-2"",""-22"","""",""1""]","[""3"",""2nd"",""PRINCESS_BANKSHOT"",""3"",""2"",""1"",""6"",""-118"",""-21"",""-23"",""-44"",""1"","""",""-22"",""-18"",""-40"",""1"","""",""-23"",""-11"",""-34"","""",""1""]","NEEDS KRYS REVIEW"
"W107|PRINCESS_BANKSHOT|2","W107","Division 1","PRINCESS_BANKSHOT","2","-27","-15","-42","-22","-18","-40","PRO WEEK CURRENT page 46 row 5","PRO WEEK CURRENT page 47 row 5","B5:W5","B5:W5","[""3"",""2nd"",""PRINCESS_BANKSHOT"",""2"",""1"",""1"",""3"",""-103"",""-23"",""-16"",""-39"",""1"","""",""-27"",""-15"",""-42"","""","""",""-20"",""-2"",""-22"","""",""1""]","[""3"",""2nd"",""PRINCESS_BANKSHOT"",""3"",""2"",""1"",""6"",""-118"",""-21"",""-23"",""-44"",""1"","""",""-22"",""-18"",""-40"",""1"","""",""-23"",""-11"",""-34"","""",""1""]","NEEDS KRYS REVIEW"
"W107|PRINCESS_BANKSHOT|3","W107","Division 1","PRINCESS_BANKSHOT","3","-20","-2","-22","-23","-11","-34","PRO WEEK CURRENT page 46 row 5","PRO WEEK CURRENT page 47 row 5","B5:W5","B5:W5","[""3"",""2nd"",""PRINCESS_BANKSHOT"",""2"",""1"",""1"",""3"",""-103"",""-23"",""-16"",""-39"",""1"","""",""-27"",""-15"",""-42"","""","""",""-20"",""-2"",""-22"","""",""1""]","[""3"",""2nd"",""PRINCESS_BANKSHOT"",""3"",""2"",""1"",""6"",""-118"",""-21"",""-23"",""-44"",""1"","""",""-22"",""-18"",""-40"",""1"","""",""-23"",""-11"",""-34"","""",""1""]","NEEDS KRYS REVIEW"
"W107|STEVIEWONDERBRA|1","W107","Division 1","STEVIEWONDERBRA","1","-9","-10","-19","-13","-13","-26","PRO WEEK CURRENT page 46 row 6","PRO WEEK CURRENT page 47 row 11","B6:W6","B11:W11","[""4"",""3rd"",""STEVIEWONDERBRA"",""3"",""1"",""2"",""3"",""-80"",""-9"",""-10"",""-19"","""",""1"",""-16"",""-11"",""-27"","""",""1"",""-20"",""-14"",""-34"",""1"",""""]","[""9"",""5th"",""STEVIEWONDERBRA"",""3"",""2"",""1"",""6"",""-93"",""-13"",""-13"",""-26"",""1"","""",""-22"",""-14"",""-36"","""",""1"",""-17"",""-14"",""-31"",""1"",""""]","NEEDS KRYS REVIEW"
"W107|STEVIEWONDERBRA|2","W107","Division 1","STEVIEWONDERBRA","2","-16","-11","-27","-22","-14","-36","PRO WEEK CURRENT page 46 row 6","PRO WEEK CURRENT page 47 row 11","B6:W6","B11:W11","[""4"",""3rd"",""STEVIEWONDERBRA"",""3"",""1"",""2"",""3"",""-80"",""-9"",""-10"",""-19"","""",""1"",""-16"",""-11"",""-27"","""",""1"",""-20"",""-14"",""-34"",""1"",""""]","[""9"",""5th"",""STEVIEWONDERBRA"",""3"",""2"",""1"",""6"",""-93"",""-13"",""-13"",""-26"",""1"","""",""-22"",""-14"",""-36"","""",""1"",""-17"",""-14"",""-31"",""1"",""""]","NEEDS KRYS REVIEW"
"W107|STEVIEWONDERBRA|3","W107","Division 1","STEVIEWONDERBRA","3","-20","-14","-34","-17","-14","-31","PRO WEEK CURRENT page 46 row 6","PRO WEEK CURRENT page 47 row 11","B6:W6","B11:W11","[""4"",""3rd"",""STEVIEWONDERBRA"",""3"",""1"",""2"",""3"",""-80"",""-9"",""-10"",""-19"","""",""1"",""-16"",""-11"",""-27"","""",""1"",""-20"",""-14"",""-34"",""1"",""""]","[""9"",""5th"",""STEVIEWONDERBRA"",""3"",""2"",""1"",""6"",""-93"",""-13"",""-13"",""-26"",""1"","""",""-22"",""-14"",""-36"","""",""1"",""-17"",""-14"",""-31"",""1"",""""]","NEEDS KRYS REVIEW"
"W107|TRICKYDICKY|1","W107","Division 1","TRICKYDICKY","1","-22","-13","-35","-15","-19","-34","PRO WEEK CURRENT page 46 row 7","PRO WEEK CURRENT page 47 row 6","B7:W7","B6:W6","[""5"",""4th"",""TRICKYDICKY"",""1"",""1"",""0"",""3"",""-35"",""-22"",""-13"",""-35"",""1"","""",""---"",""---"",""0"","""","""",""---"",""---"",""0"","""",""""]","[""4"",""3rd"",""TRICKYDICKY"",""3"",""1"",""2"",""3"",""-118"",""-15"",""-19"",""-34"","""",""1"",""-25"",""-15"",""-40"","""",""1"",""-22"",""-22"",""-44"",""1"",""""]","NEEDS KRYS REVIEW"
"W107|TRICKYDICKY|2","W107","Division 1","TRICKYDICKY","2","---","---","0","-25","-15","-40","PRO WEEK CURRENT page 46 row 7","PRO WEEK CURRENT page 47 row 6","B7:W7","B6:W6","[""5"",""4th"",""TRICKYDICKY"",""1"",""1"",""0"",""3"",""-35"",""-22"",""-13"",""-35"",""1"","""",""---"",""---"",""0"","""","""",""---"",""---"",""0"","""",""""]","[""4"",""3rd"",""TRICKYDICKY"",""3"",""1"",""2"",""3"",""-118"",""-15"",""-19"",""-34"","""",""1"",""-25"",""-15"",""-40"","""",""1"",""-22"",""-22"",""-44"",""1"",""""]","NEEDS KRYS REVIEW"
"W107|TRICKYDICKY|3","W107","Division 1","TRICKYDICKY","3","---","---","0","-22","-22","-44","PRO WEEK CURRENT page 46 row 7","PRO WEEK CURRENT page 47 row 6","B7:W7","B6:W6","[""5"",""4th"",""TRICKYDICKY"",""1"",""1"",""0"",""3"",""-35"",""-22"",""-13"",""-35"",""1"","""",""---"",""---"",""0"","""","""",""---"",""---"",""0"","""",""""]","[""4"",""3rd"",""TRICKYDICKY"",""3"",""1"",""2"",""3"",""-118"",""-15"",""-19"",""-34"","""",""1"",""-25"",""-15"",""-40"","""",""1"",""-22"",""-22"",""-44"",""1"",""""]","NEEDS KRYS REVIEW"
"W107|KEIRAROBERT|1","W107","Division 2","KEIRAROBERT","1","-14","-10","-24","---","---","0","PRO WEEK CURRENT page 46 row 11","PRO WEEK CURRENT page 47 row 7","B11:W11","B7:W7","[""9"",""5th"",""KEIRAROBERT"",""3"",""2"",""1"",""6"",""-81"",""-14"",""-10"",""-24"",""1"","""",""-20"",""-13"",""-33"",""1"","""",""-17"",""-7"",""-24"","""",""1""]","[""5"",""4th"",""KEIRAROBERT"",""2"",""0"",""2"",""0"",""-40"",""---"",""---"",""0"","""","""",""-21"",""0"",""-21"","""",""1"",""-18"",""-1"",""-19"","""",""1""]","NEEDS KRYS REVIEW"
"W107|KEIRAROBERT|2","W107","Division 2","KEIRAROBERT","2","-20","-13","-33","-21","0","-21","PRO WEEK CURRENT page 46 row 11","PRO WEEK CURRENT page 47 row 7","B11:W11","B7:W7","[""9"",""5th"",""KEIRAROBERT"",""3"",""2"",""1"",""6"",""-81"",""-14"",""-10"",""-24"",""1"","""",""-20"",""-13"",""-33"",""1"","""",""-17"",""-7"",""-24"","""",""1""]","[""5"",""4th"",""KEIRAROBERT"",""2"",""0"",""2"",""0"",""-40"",""---"",""---"",""0"","""","""",""-21"",""0"",""-21"","""",""1"",""-18"",""-1"",""-19"","""",""1""]","NEEDS KRYS REVIEW"
"W107|KEIRAROBERT|3","W107","Division 2","KEIRAROBERT","3","-17","-7","-24","-18","-1","-19","PRO WEEK CURRENT page 46 row 11","PRO WEEK CURRENT page 47 row 7","B11:W11","B7:W7","[""9"",""5th"",""KEIRAROBERT"",""3"",""2"",""1"",""6"",""-81"",""-14"",""-10"",""-24"",""1"","""",""-20"",""-13"",""-33"",""1"","""",""-17"",""-7"",""-24"","""",""1""]","[""5"",""4th"",""KEIRAROBERT"",""2"",""0"",""2"",""0"",""-40"",""---"",""---"",""0"","""","""",""-21"",""0"",""-21"","""",""1"",""-18"",""-1"",""-19"","""",""1""]","NEEDS KRYS REVIEW"
