period_type,period_number,period_label,division,historical_player_name,game_number,map_course_code,easy_score,hard_score,combined_total,p,w,l,d,pts,strokes,published_rank,source_era,source_workbook,source_tab,source_page,source_row,source_cells,duplicate_source_locations,review_status,source_url,raw_source_data
"season","12","S12","Division 1","BIGJA","1","-64","","","0","2","2","0","0","6","-64","2nd","Seasons 1-12 wide paired scorecards","PRO WEEK CURRENT","S12","5","4","B4:X4","","MISSING SCORE","https://docs.google.com/spreadsheets/d/1X8IM5qjBFTDyNgP8tl4eYBry9aFgK0cGj-B1sl2ddNI/edit","[""2"",""1st"",""BIGJA"",""2"",""2"",""0"",""0"",""6"",""-64"","""","""",""0"","""","""","""",""-21"",""-17"",""-38"",""1"","""","""",""-18"",""-8"",""-26"",""1"","""","""","""",""1st"",""PRINCESS_BANKSHOT"",""3"",""2"",""1"",""0"",""6"",""-71"",""-13"",""-10"",""-23"",""1"","""","""",""-18"",""-8"",""-26"","""",""1"","""",""-13"",""-9"",""-22"",""1"","""",""""]"
"season","12","S12","Division 1","BIGJA","2","","","-21","-17","2","2","0","0","6","-64","2nd","Seasons 1-12 wide paired scorecards","PRO WEEK CURRENT","S12","5","4","B4:X4","","MISSING SCORE","https://docs.google.com/spreadsheets/d/1X8IM5qjBFTDyNgP8tl4eYBry9aFgK0cGj-B1sl2ddNI/edit","[""2"",""1st"",""BIGJA"",""2"",""2"",""0"",""0"",""6"",""-64"","""","""",""0"","""","""","""",""-21"",""-17"",""-38"",""1"","""","""",""-18"",""-8"",""-26"",""1"","""","""","""",""1st"",""PRINCESS_BANKSHOT"",""3"",""2"",""1"",""0"",""6"",""-71"",""-13"",""-10"",""-23"",""1"","""","""",""-18"",""-8"",""-26"","""",""1"","""",""-13"",""-9"",""-22"",""1"","""",""""]"
"season","12","S12","Division 1","BIGJA","3","1","","","-18","2","2","0","0","6","-64","2nd","Seasons 1-12 wide paired scorecards","PRO WEEK CURRENT","S12","5","4","B4:X4","","MISSING SCORE","https://docs.google.com/spreadsheets/d/1X8IM5qjBFTDyNgP8tl4eYBry9aFgK0cGj-B1sl2ddNI/edit","[""2"",""1st"",""BIGJA"",""2"",""2"",""0"",""0"",""6"",""-64"","""","""",""0"","""","""","""",""-21"",""-17"",""-38"",""1"","""","""",""-18"",""-8"",""-26"",""1"","""","""","""",""1st"",""PRINCESS_BANKSHOT"",""3"",""2"",""1"",""0"",""6"",""-71"",""-13"",""-10"",""-23"",""1"","""","""",""-18"",""-8"",""-26"","""",""1"","""",""-13"",""-9"",""-22"",""1"","""",""""]"
"season","12","S12","Division 1","WAREY84","1","-41","","","0","2","0","2","0","0","-41","4th","Seasons 1-12 wide paired scorecards","PRO WEEK CURRENT","S12","5","5","B5:X5","","MISSING SCORE","https://docs.google.com/spreadsheets/d/1X8IM5qjBFTDyNgP8tl4eYBry9aFgK0cGj-B1sl2ddNI/edit","[""3"",""2nd"",""WAREY84"",""2"",""0"",""2"",""0"",""0"",""-41"","""","""",""0"","""","""","""",""-18"",""-2"",""-20"","""",""1"","""",""-15"",""-6"",""-21"","""",""1"","""","""",""2nd"",""BIGJA"",""2"",""2"",""0"",""0"",""6"",""-64"","""","""",""0"","""","""","""",""-21"",""-17"",""-38"",""1"","""","""",""-18"",""-8"",""-26"",""1"","""",""""]"
"season","12","S12","Division 1","WAREY84","2","","","-18","-2","2","0","2","0","0","-41","4th","Seasons 1-12 wide paired scorecards","PRO WEEK CURRENT","S12","5","5","B5:X5","","MISSING SCORE","https://docs.google.com/spreadsheets/d/1X8IM5qjBFTDyNgP8tl4eYBry9aFgK0cGj-B1sl2ddNI/edit","[""3"",""2nd"",""WAREY84"",""2"",""0"",""2"",""0"",""0"",""-41"","""","""",""0"","""","""","""",""-18"",""-2"",""-20"","""",""1"","""",""-15"",""-6"",""-21"","""",""1"","""","""",""2nd"",""BIGJA"",""2"",""2"",""0"",""0"",""6"",""-64"","""","""",""0"","""","""","""",""-21"",""-17"",""-38"",""1"","""","""",""-18"",""-8"",""-26"",""1"","""",""""]"
"season","12","S12","Division 1","WAREY84","3","","1","","-15","2","0","2","0","0","-41","4th","Seasons 1-12 wide paired scorecards","PRO WEEK CURRENT","S12","5","5","B5:X5","","MISSING SCORE","https://docs.google.com/spreadsheets/d/1X8IM5qjBFTDyNgP8tl4eYBry9aFgK0cGj-B1sl2ddNI/edit","[""3"",""2nd"",""WAREY84"",""2"",""0"",""2"",""0"",""0"",""-41"","""","""",""0"","""","""","""",""-18"",""-2"",""-20"","""",""1"","""",""-15"",""-6"",""-21"","""",""1"","""","""",""2nd"",""BIGJA"",""2"",""2"",""0"",""0"",""6"",""-64"","""","""",""0"","""","""","""",""-21"",""-17"",""-38"",""1"","""","""",""-18"",""-8"",""-26"",""1"","""",""""]"
"season","12","S12","Division 1","YODA5753","1","-53","-15","2","-13","3","1","2","0","3","-53","3rd","Seasons 1-12 wide paired scorecards","PRO WEEK CURRENT","S12","5","6","B6:X6","","READY","https://docs.google.com/spreadsheets/d/1X8IM5qjBFTDyNgP8tl4eYBry9aFgK0cGj-B1sl2ddNI/edit","[""4"",""3rd"",""YODA5753"",""3"",""1"",""2"",""0"",""3"",""-53"",""-15"",""2"",""-13"","""",""1"","""",""-16"",""-7"",""-23"",""1"","""","""",""-15"",""-2"",""-17"","""",""1"","""","""",""3rd"",""YODA5753"",""3"",""1"",""2"",""0"",""3"",""-53"",""-15"",""2"",""-13"","""",""1"","""",""-16"",""-7"",""-23"",""1"","""","""",""-15"",""-2"",""-17"","""",""1"",""""]"
"season","12","S12","Division 1","YODA5753","2","1","","-16","-7","3","1","2","0","3","-53","3rd","Seasons 1-12 wide paired scorecards","PRO WEEK CURRENT","S12","5","6","B6:X6","","MISSING SCORE","https://docs.google.com/spreadsheets/d/1X8IM5qjBFTDyNgP8tl4eYBry9aFgK0cGj-B1sl2ddNI/edit","[""4"",""3rd"",""YODA5753"",""3"",""1"",""2"",""0"",""3"",""-53"",""-15"",""2"",""-13"","""",""1"","""",""-16"",""-7"",""-23"",""1"","""","""",""-15"",""-2"",""-17"","""",""1"","""","""",""3rd"",""YODA5753"",""3"",""1"",""2"",""0"",""3"",""-53"",""-15"",""2"",""-13"","""",""1"","""",""-16"",""-7"",""-23"",""1"","""","""",""-15"",""-2"",""-17"","""",""1"",""""]"
"season","12","S12","Division 1","YODA5753","3","1","","","-15","3","1","2","0","3","-53","3rd","Seasons 1-12 wide paired scorecards","PRO WEEK CURRENT","S12","5","6","B6:X6","","MISSING SCORE","https://docs.google.com/spreadsheets/d/1X8IM5qjBFTDyNgP8tl4eYBry9aFgK0cGj-B1sl2ddNI/edit","[""4"",""3rd"",""YODA5753"",""3"",""1"",""2"",""0"",""3"",""-53"",""-15"",""2"",""-13"","""",""1"","""",""-16"",""-7"",""-23"",""1"","""","""",""-15"",""-2"",""-17"","""",""1"","""","""",""3rd"",""YODA5753"",""3"",""1"",""2"",""0"",""3"",""-53"",""-15"",""2"",""-13"","""",""1"","""",""-16"",""-7"",""-23"",""1"","""","""",""-15"",""-2"",""-17"","""",""1"",""""]"
"season","12","S12","Division 1","PRINCESS_BANKSHOT","1","-71","-13","-10","-23","3","2","1","0","6","-71","1st","Seasons 1-12 wide paired scorecards","PRO WEEK CURRENT","S12","5","7","B7:X7","","READY","https://docs.google.com/spreadsheets/d/1X8IM5qjBFTDyNgP8tl4eYBry9aFgK0cGj-B1sl2ddNI/edit","[""5"",""4th"",""PRINCESS_BANKSHOT"",""3"",""2"",""1"",""0"",""6"",""-71"",""-13"",""-10"",""-23"",""1"","""","""",""-18"",""-8"",""-26"","""",""1"","""",""-13"",""-9"",""-22"",""1"","""","""","""",""4th"",""WAREY84"",""2"",""0"",""2"",""0"",""0"",""-41"","""","""",""0"","""","""","""",""-18"",""-2"",""-20"","""",""1"","""",""-15"",""-6"",""-21"","""",""1"",""""]"
