period_type,season_number,division,game_number,player_a_exact_name,player_b_exact_name,player_a_source_row,player_b_source_row,player_a_source_cells,player_b_source_cells,player_a_score_entry_text,player_b_score_entry_text,effective_text_color,user_entered_text_color,pairing_state,evidence_type,source_workbook,source_tab,source_tab_id,source_range,source_url,provenance
season,12,Division 1,1,BIGJA,WAREY84,4,5,I4:J4,I5:J5,Easy=; Hard=,Easy=; Hard=,"{""green"":1,""red"":1}","{""green"":1,""red"":1}",PARTIAL — NEEDS REVIEW,SOURCE COLOR CONFIRMED,PRO WEEK CURRENT,S12,2138061538,B4:Z4; B5:Z5,https://docs.google.com/spreadsheets/d/1X8IM5qjBFTDyNgP8tl4eYBry9aFgK0cGj-B1sl2ddNI/edit,PRO WEEK CURRENT / S12 / B4:Z4; B5:Z5
season,12,Division 1,2,BIGJA,PRINCESS_BANKSHOT,4,7,O4:P4,O7:P7,Easy=-21; Hard=-17,Easy=-18; Hard=-8,"{""blue"":1,""green"":1}","{""blue"":1,""green"":1}",SOURCE COLOR CONFIRMED — PLAYED,SOURCE COLOR CONFIRMED,PRO WEEK CURRENT,S12,2138061538,B4:Z4; B7:Z7,https://docs.google.com/spreadsheets/d/1X8IM5qjBFTDyNgP8tl4eYBry9aFgK0cGj-B1sl2ddNI/edit,PRO WEEK CURRENT / S12 / B4:Z4; B7:Z7
season,12,Division 1,3,BIGJA,YODA5753,4,6,U4:V4,U6:V6,Easy=-18; Hard=-8,Easy=-15; Hard=-2,"{""green"":1,""red"":1}","{""green"":1,""red"":1}",SOURCE COLOR CONFIRMED — PLAYED,SOURCE COLOR CONFIRMED,PRO WEEK CURRENT,S12,2138061538,B4:Z4; B6:Z6,https://docs.google.com/spreadsheets/d/1X8IM5qjBFTDyNgP8tl4eYBry9aFgK0cGj-B1sl2ddNI/edit,PRO WEEK CURRENT / S12 / B4:Z4; B6:Z6
season,12,Division 1,2,WAREY84,YODA5753,5,6,O5:P5,O6:P6,Easy=-18; Hard=-2,Easy=-16; Hard=-7,"{""red"":1}","{""red"":1}",SOURCE COLOR CONFIRMED — PLAYED,SOURCE COLOR CONFIRMED,PRO WEEK CURRENT,S12,2138061538,B5:Z5; B6:Z6,https://docs.google.com/spreadsheets/d/1X8IM5qjBFTDyNgP8tl4eYBry9aFgK0cGj-B1sl2ddNI/edit,PRO WEEK CURRENT / S12 / B5:Z5; B6:Z6
season,12,Division 1,3,WAREY84,PRINCESS_BANKSHOT,5,7,U5:V5,U7:V7,Easy=-15; Hard=-6,Easy=-13; Hard=-9,"{""blue"":1}","{""blue"":1}",SOURCE COLOR CONFIRMED — PLAYED,SOURCE COLOR CONFIRMED,PRO WEEK CURRENT,S12,2138061538,B5:Z5; B7:Z7,https://docs.google.com/spreadsheets/d/1X8IM5qjBFTDyNgP8tl4eYBry9aFgK0cGj-B1sl2ddNI/edit,PRO WEEK CURRENT / S12 / B5:Z5; B7:Z7
season,12,Division 1,1,YODA5753,PRINCESS_BANKSHOT,6,7,I6:J6,I7:J7,Easy=-15; Hard=2,Easy=-13; Hard=-10,"{""green"":1}","{""green"":1}",SOURCE COLOR CONFIRMED — PLAYED,SOURCE COLOR CONFIRMED,PRO WEEK CURRENT,S12,2138061538,B6:Z6; B7:Z7,https://docs.google.com/spreadsheets/d/1X8IM5qjBFTDyNgP8tl4eYBry9aFgK0cGj-B1sl2ddNI/edit,PRO WEEK CURRENT / S12 / B6:Z6; B7:Z7
season,12,Division 2,1,TRICKYDICKY,CHIPNPUTT,11,12,I11:J11,I12:J12,Easy=-15; Hard=-6,Easy=-13; Hard=-6,"{""blue"":1,""red"":1}","{""blue"":1,""red"":1}",SOURCE COLOR CONFIRMED — PLAYED,SOURCE COLOR CONFIRMED,PRO WEEK CURRENT,S12,2138061538,B11:Z11; B12:Z12,https://docs.google.com/spreadsheets/d/1X8IM5qjBFTDyNgP8tl4eYBry9aFgK0cGj-B1sl2ddNI/edit,PRO WEEK CURRENT / S12 / B11:Z11; B12:Z12
season,12,Division 2,2,TRICKYDICKY,PRINCESS_SPICY,11,14,O11:P11,O14:P14,Easy=-17; Hard=-9,Easy=-14; Hard=-4,"{""blue"":1}","{""blue"":1}",SOURCE COLOR CONFIRMED — PLAYED,SOURCE COLOR CONFIRMED,PRO WEEK CURRENT,S12,2138061538,B11:Z11; B14:Z14,https://docs.google.com/spreadsheets/d/1X8IM5qjBFTDyNgP8tl4eYBry9aFgK0cGj-B1sl2ddNI/edit,PRO WEEK CURRENT / S12 / B11:Z11; B14:Z14
season,12,Division 2,3,TRICKYDICKY,LAKE,11,13,U11:V11,U13:V13,Easy=-17; Hard=-12,Easy=-20; Hard=-3,"{""blue"":1,""red"":1}","{""blue"":1,""red"":1}",SOURCE COLOR CONFIRMED — PLAYED,SOURCE COLOR CONFIRMED,PRO WEEK CURRENT,S12,2138061538,B11:Z11; B13:Z13,https://docs.google.com/spreadsheets/d/1X8IM5qjBFTDyNgP8tl4eYBry9aFgK0cGj-B1sl2ddNI/edit,PRO WEEK CURRENT / S12 / B11:Z11; B13:Z13
season,12,Division 2,2,CHIPNPUTT,LAKE,12,13,O12:P12,O13:P13,Easy=-10; Hard=-8,Easy=-17; Hard=-10,"{""red"":1}","{""red"":1}",SOURCE COLOR CONFIRMED — PLAYED,SOURCE COLOR CONFIRMED,PRO WEEK CURRENT,S12,2138061538,B12:Z12; B13:Z13,https://docs.google.com/spreadsheets/d/1X8IM5qjBFTDyNgP8tl4eYBry9aFgK0cGj-B1sl2ddNI/edit,PRO WEEK CURRENT / S12 / B12:Z12; B13:Z13
