season,division,historical_name,published_placement,game,course_1_holes_won,course_2_holes_won,total_holes_won,w,l,d,points,source_state,source_side,source_row,score_cells,total_cell,wld_cells,source_url
S1,1,KRYS,4th,1,,,6,,1,,1,NUMERIC_TOTAL,L,11,I11,I11,J11:L11,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=I11
S1,1,KRYS,4th,2,,,8,,1,,1,NUMERIC_TOTAL,L,11,M11,M11,N11:P11,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=M11
S1,1,KRYS,4th,3,,,7,,,1,1,NUMERIC_TOTAL,L,11,Q11,Q11,R11:T11,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=Q11
S1,1,MULLIGAN,4th,1,,,11,,,1,32,NUMERIC_TOTAL,R,11,AD11,AD11,AE11:AG11,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=AD11
S1,1,MULLIGAN,4th,2,,,12,1,,,32,NUMERIC_TOTAL,R,11,AH11,AH11,AI11:AK11,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=AH11
S1,1,MULLIGAN,4th,3,,,9,1,,,32,NUMERIC_TOTAL,R,11,AL11,AL11,AM11:AO11,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=AL11
S1,1,BIGJA,2nd,1,,,10,1,,,6,NUMERIC_TOTAL,L,12,I12,I12,J12:L12,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=I12
S1,1,BIGJA,2nd,2,,,8,1,,,6,NUMERIC_TOTAL,L,12,M12,M12,N12:P12,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=M12
S1,1,BIGJA,2nd,3,,,8,,1,,6,NUMERIC_TOTAL,L,12,Q12,Q12,R12:T12,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=Q12
S1,1,STROKELIMITREACHED,3rd,1,,,11,,,1,2,NUMERIC_TOTAL,L,13,I13,I13,J13:L13,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=I13
S1,1,STROKELIMITREACHED,3rd,2,,,6,,1,,2,NUMERIC_TOTAL,L,13,M13,M13,N13:P13,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=M13
S1,1,STROKELIMITREACHED,3rd,3,,,7,,,1,2,NUMERIC_TOTAL,L,13,Q13,Q13,R13:T13,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=Q13
S1,2,LEANIN2IT,2nd,1,,,11,1,,,6,NUMERIC_TOTAL,L,18,I18,I18,J18:L18,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=I18
S1,2,LEANIN2IT,2nd,2,,,8,1,,,6,NUMERIC_TOTAL,L,18,M18,M18,N18:P18,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=M18
S1,2,LEANIN2IT,2nd,3,,,9,,1,,6,NUMERIC_TOTAL,L,18,Q18,Q18,R18:T18,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=Q18
S1,2,YUK1N,3rd,1,,,14,1,,,30,NUMERIC_TOTAL,R,18,AD18,AD18,AE18:AG18,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=AD18
S1,2,YUK1N,3rd,2,,,5,,1,,30,NUMERIC_TOTAL,R,18,AH18,AH18,AI18:AK18,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=AH18
S1,2,YUK1N,3rd,3,,,11,1,,,30,NUMERIC_TOTAL,R,18,AL18,AL18,AM18:AO18,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=AL18
S1,2,TRICKYDICKY,3rd,1,,,9,,1,,6,NUMERIC_TOTAL,L,19,I19,I19,J19:L19,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=I19
S1,2,TRICKYDICKY,3rd,2,,,6,1,,,6,NUMERIC_TOTAL,L,19,M19,M19,N19:P19,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=M19
S1,2,TRICKYDICKY,3rd,3,,,5,1,,,6,NUMERIC_TOTAL,L,19,Q19,Q19,R19:T19,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=Q19
S1,2,STEWIE,4th,1,,,9,,1,,0,NUMERIC_TOTAL,L,21,I21,I21,J21:L21,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=I21
S1,2,STEWIE,4th,2,,,5,,1,,0,NUMERIC_TOTAL,L,21,M21,M21,N21:P21,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=M21
S1,2,STEWIE,4th,3,,,4,,1,,0,NUMERIC_TOTAL,L,21,Q21,Q21,R21:T21,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=Q21
S1,3,DERBY_DAZ,2nd,1,,,13,1,,,6,NUMERIC_TOTAL,L,25,I25,I25,J25:L25,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=I25
S1,3,DERBY_DAZ,2nd,2,,,15,1,,,6,NUMERIC_TOTAL,L,25,M25,M25,N25:P25,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=M25
S1,3,DERBY_DAZ,2nd,3,,,11,,1,,6,NUMERIC_TOTAL,L,25,Q25,Q25,R25:T25,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=Q25
S1,3,YODA,3rd,1,,,9,,,1,40,NUMERIC_TOTAL,R,25,AD25,AD25,AE25:AG25,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=AD25
S1,3,YODA,3rd,2,,,18,1,,,40,NUMERIC_TOTAL,R,25,AH25,AH25,AI25:AK25,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=AH25
S1,3,YODA,3rd,3,,,13,1,,,40,NUMERIC_TOTAL,R,25,AL25,AL25,AM25:AO25,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=AL25
S1,3,JAMIE,4th,1,,,3,,1,,0,NUMERIC_TOTAL,L,26,I26,I26,J26:L26,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=I26
S1,3,JAMIE,4th,2,,,5,,1,,0,NUMERIC_TOTAL,L,26,M26,M26,N26:P26,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=M26
