season,division,historical_name,left_placement,right_placement,left_side,left_row,right_side,right_row,left_rank_cell,right_rank_cell,source_url
S1,1,KRYS,1st,4th,L,11,R,14,A11:A11,V14:V14,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A11:V14
S1,1,MULLIGAN,1st,4th,R,11,L,14,A11:A11,V14:V14,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A11:V14
S1,2,LEANIN2IT,1st,2nd,L,18,R,19,A18:A18,V19:V19,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A18:V19
S1,2,YUK1N,1st,3rd,R,18,L,20,A18:A18,V20:V20,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A18:V20
S1,2,TRICKYDICKY,2nd,3rd,L,19,R,20,A19:A19,V20:V20,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A19:V20
S1,3,DERBY_DAZ,1st,2nd,L,25,R,26,A25:A25,V26:V26,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A25:V26
S1,3,YODA,1st,3rd,R,25,L,27,A25:A25,V27:V27,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A25:V27
S1,3,JAMIE,2nd,4th,L,26,R,28,A26:A26,V28:V28,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A26:V28
S1,3,SLAPPY,3rd,4th,R,27,L,28,A27:A27,V28:V28,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A27:V28
S1,4,Chicagobry,2nd,3rd,L,33,R,34,A33:A33,V34:V34,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A33:V34
S1,4,Spicy,2nd,3rd,R,33,L,34,A33:A33,V34:V34,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A33:V34
S1,5,Uropa,1st,2nd,L,39,R,40,A39:A39,V40:V40,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A39:V40
S1,5,D3bb13,1st,3rd,R,39,L,41,A39:A39,V41:V41,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A39:V41
S1,5,PaulV,2nd,4th,L,40,R,42,A40:A40,V42:V42,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A40:V42
S1,5,GuyB,3rd,4th,R,41,L,42,A41:A41,V42:V42,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A41:V42
S1,6,Shooter_Mcgavin,1st,3rd,L,46,R,48,A46:A46,V48:V48,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A46:V48
S1,6,Mammothrept,1st,3rd,R,46,L,48,A46:A46,V48:V48,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A46:V48
S1,6,StevieWonderful,2nd,4th,L,47,R,49,A47:A47,V49:V49,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A47:V49
S1,6,Empzurg,2nd,4th,R,47,L,49,A47:A47,V49:V49,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A47:V49
S1,7,Sandtrap,1st,2nd,L,53,R,54,A53:A53,V54:V54,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A53:V54
S1,7,L7jazz,1st,3rd,R,53,L,55,A53:A53,V55:V55,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A53:V55
S1,7,JFitz,2nd,3rd,L,54,R,55,A54:A54,V55:V55,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A54:V55
S1,8,Skeeter,1st,2nd,L,60,R,61,A60:A60,V61:V61,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=1323020530&range=A60:V61
