season,division,historical_name,game,source_row,published_placement,course_1_raw,course_2_raw,total_raw,w_raw,l_raw,d_raw,source_cells,source_range,source_url,review_status
S4,1,MULLIGAN,1,11,1st,0,0,0,,,,J11:K11,J11:K11,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=12121589&range=J11:K11,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
S4,1,STROKELIMITREACHED,1,12,2nd,0,0,0,,,,J12:K12,J12:K12,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=12121589&range=J12:K12,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
S4,4,L7JAZZ,3,33,2nd,0,0,0,,,,V33:W33,V33:W33,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=12121589&range=V33:W33,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
S4,4,SJ,3,35,4th,0,0,0,,,,V35:W35,V35:W35,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=12121589&range=V35:W35,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
S4,5,EVILARVE,1,39,1st,0,0,0,,,,J39:K39,J39:K39,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=12121589&range=J39:K39,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
S4,5,EVILARVE,2,39,1st,0,0,0,,,,P39:Q39,P39:Q39,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=12121589&range=P39:Q39,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
S4,5,EVILARVE,3,39,1st,0,0,0,,,,V39:W39,V39:W39,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=12121589&range=V39:W39,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
S4,5,CATHY,1,40,2nd,0,0,0,,,,J40:K40,J40:K40,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=12121589&range=J40:K40,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
S4,5,CATHY,2,40,2nd,0,0,0,,,,P40:Q40,P40:Q40,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=12121589&range=P40:Q40,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
S4,5,CATHY,3,40,2nd,0,0,0,,,,V40:W40,V40:W40,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=12121589&range=V40:W40,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
S4,5,SKEETER,1,41,3rd,0,0,0,,,,J41:K41,J41:K41,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=12121589&range=J41:K41,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
S4,5,SKEETER,2,41,3rd,0,0,0,,,,P41:Q41,P41:Q41,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=12121589&range=P41:Q41,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
S4,5,SKEETER,3,41,3rd,0,0,0,,,,V41:W41,V41:W41,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=12121589&range=V41:W41,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
s5,4,EVILARVE,3,33,2nd,0,0,0,,,,V33:W33,V33:W33,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=663651584&range=V33:W33,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
s5,4,FRYLOCK,3,33,2nd,0,0,0,,,,AW33:AX33,AW33:AX33,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=663651584&range=AW33:AX33,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
S6,3,SJ,1,18,1st,0,0,0,,,,J18:K18,J18:K18,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=606543101&range=J18:K18,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
S6,3,SJ,3,18,1st,0,0,0,,,,V18:W18,V18:W18,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=606543101&range=V18:W18,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
S6,3,FRYLOCK,1,19,2nd,0,0,0,,,,J19:K19,J19:K19,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=606543101&range=J19:K19,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
S6,3,FRYLOCK,3,19,2nd,0,0,0,,,,V19:W19,V19:W19,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=606543101&range=V19:W19,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
S6,3,EVILARVAE,1,20,3rd,0,0,0,,,,J20:K20,J20:K20,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=606543101&range=J20:K20,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
S6,3,EVILARVAE,2,20,3rd,0,0,0,,,,P20:Q20,P20:Q20,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=606543101&range=P20:Q20,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
S6,3,EVILARVAE,3,20,3rd,0,0,0,,,,V20:W20,V20:W20,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=606543101&range=V20:W20,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
S6,3,SKEETER,1,21,4th,0,0,0,,,,J21:K21,J21:K21,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=606543101&range=J21:K21,NEEDS REVIEW — NUMERIC 0/0 WITHOUT GAME W/L/D
