"season","division","historical_player_name","source_position","played","played_state","wins","draws","losses","points","total_strokes","course_order","course_name","score","raw_score_token","outcome","win_marker","loss_marker","draw_marker","source_workbook","source_tab","source_range","source_sha256","source_url","source_row","source_score_cell","source_score_range","source_font_color","source_era","provenance","import_status"
"1","1","Amberwave","1","true","PLAYED / NUMERIC","8","1","0","25","-75","1","SSH","-14","-14","","false","false","false","PAST SEASONS","S1","'S1'!A1:T54","470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e","https://docs.google.com/spreadsheets/d/1FfwU3FeJxaG6JzRKp5kkAnRQh_orpTlifnAIyE-6UJA/edit","2","I2","I2","","legacy_9_course_aggregate_s1","preserved from authorized native Google Sheet source snapshot","READY FOR ERA-AWARE REVIEW; NOT IMPORTED"
"1","1","Amberwave","1","true","PLAYED / NUMERIC","8","1","0","25","-75","2","QVH","-13","-13","","false","false","false","PAST SEASONS","S1","'S1'!A1:T54","470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e","https://docs.google.com/spreadsheets/d/1FfwU3FeJxaG6JzRKp5kkAnRQh_orpTlifnAIyE-6UJA/edit","2","J2","J2","","legacy_9_course_aggregate_s1","preserved from authorized native Google Sheet source snapshot","READY FOR ERA-AWARE REVIEW; NOT IMPORTED"
"1","1","Amberwave","1","true","PLAYED / NUMERIC","8","1","0","25","-75","3","AME","-23","-23","","false","false","false","PAST SEASONS","S1","'S1'!A1:T54","470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e","https://docs.google.com/spreadsheets/d/1FfwU3FeJxaG6JzRKp5kkAnRQh_orpTlifnAIyE-6UJA/edit","2","K2","K2","","legacy_9_course_aggregate_s1","preserved from authorized native Google Sheet source snapshot","READY FOR ERA-AWARE REVIEW; NOT IMPORTED"
"1","1","Amberwave","1","true","PLAYED / NUMERIC","8","1","0","25","-75","4","TTE","-18","-18","","false","false","false","PAST SEASONS","S1","'S1'!A1:T54","470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e","https://docs.google.com/spreadsheets/d/1FfwU3FeJxaG6JzRKp5kkAnRQh_orpTlifnAIyE-6UJA/edit","2","L2","L2","","legacy_9_course_aggregate_s1","preserved from authorized native Google Sheet source snapshot","READY FOR ERA-AWARE REVIEW; NOT IMPORTED"
"1","1","Amberwave","1","true","PLAYED / NUMERIC","8","1","0","25","-75","5","CBH","-11","-11","","false","false","false","PAST SEASONS","S1","'S1'!A1:T54","470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e","https://docs.google.com/spreadsheets/d/1FfwU3FeJxaG6JzRKp5kkAnRQh_orpTlifnAIyE-6UJA/edit","2","M2","M2","","legacy_9_course_aggregate_s1","preserved from authorized native Google Sheet source snapshot","READY FOR ERA-AWARE REVIEW; NOT IMPORTED"
"1","1","Amberwave","1","true","PLAYED / NUMERIC","8","1","0","25","-75","6","SLE","-23","-23","","false","false","false","PAST SEASONS","S1","'S1'!A1:T54","470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e","https://docs.google.com/spreadsheets/d/1FfwU3FeJxaG6JzRKp5kkAnRQh_orpTlifnAIyE-6UJA/edit","2","N2","N2","","legacy_9_course_aggregate_s1","preserved from authorized native Google Sheet source snapshot","READY FOR ERA-AWARE REVIEW; NOT IMPORTED"
"1","1","Amberwave","1","true","PLAYED / NUMERIC","8","1","0","25","-75","7","TSH","-13","-13","","false","false","false","PAST SEASONS","S1","'S1'!A1:T54","470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e","https://docs.google.com/spreadsheets/d/1FfwU3FeJxaG6JzRKp5kkAnRQh_orpTlifnAIyE-6UJA/edit","2","O2","O2","","legacy_9_course_aggregate_s1","preserved from authorized native Google Sheet source snapshot","READY FOR ERA-AWARE REVIEW; NOT IMPORTED"
"1","1","Amberwave","1","true","PLAYED / NUMERIC","8","1","0","25","-75","8","LAB EASY","-20","-20","","false","false","false","PAST SEASONS","S1","'S1'!A1:T54","470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e","https://docs.google.com/spreadsheets/d/1FfwU3FeJxaG6JzRKp5kkAnRQh_orpTlifnAIyE-6UJA/edit","2","P2","P2","","legacy_9_course_aggregate_s1","preserved from authorized native Google Sheet source snapshot","READY FOR ERA-AWARE REVIEW; NOT IMPORTED"
"1","1","Amberwave","1","true","PLAYED / NUMERIC","8","1","0","25","-75","9","TTH","-8","-8","","false","false","false","PAST SEASONS","S1","'S1'!A1:T54","470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e","https://docs.google.com/spreadsheets/d/1FfwU3FeJxaG6JzRKp5kkAnRQh_orpTlifnAIyE-6UJA/edit","2","Q2","Q2","","legacy_9_course_aggregate_s1","preserved from authorized native Google Sheet source snapshot","READY FOR ERA-AWARE REVIEW; NOT IMPORTED"
"1","1","Awkward3Sauce","2","true","PLAYED / NUMERIC","6","1","2","19","-47","1","SSH","-10","-10","","false","false","false","PAST SEASONS","S1","'S1'!A1:T54","470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e","https://docs.google.com/spreadsheets/d/1FfwU3FeJxaG6JzRKp5kkAnRQh_orpTlifnAIyE-6UJA/edit","3","I3","I3","","legacy_9_course_aggregate_s1","preserved from authorized native Google Sheet source snapshot","READY FOR ERA-AWARE REVIEW; NOT IMPORTED"
"1","1","Awkward3Sauce","2","true","PLAYED / NUMERIC","6","1","2","19","-47","2","QVH","-13","-13","","false","false","false","PAST SEASONS","S1","'S1'!A1:T54","470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e","https://docs.google.com/spreadsheets/d/1FfwU3FeJxaG6JzRKp5kkAnRQh_orpTlifnAIyE-6UJA/edit","3","J3","J3","","legacy_9_course_aggregate_s1","preserved from authorized native Google Sheet source snapshot","READY FOR ERA-AWARE REVIEW; NOT IMPORTED"
"1","1","Awkward3Sauce","2","true","PLAYED / NUMERIC","6","1","2","19","-47","3","AME","-22","-22","","false","false","false","PAST SEASONS","S1","'S1'!A1:T54","470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e","https://docs.google.com/spreadsheets/d/1FfwU3FeJxaG6JzRKp5kkAnRQh_orpTlifnAIyE-6UJA/edit","3","K3","K3","","legacy_9_course_aggregate_s1","preserved from authorized native Google Sheet source snapshot","READY FOR ERA-AWARE REVIEW; NOT IMPORTED"
"1","1","Awkward3Sauce","2","true","PLAYED / NUMERIC","6","1","2","19","-47","4","TTE","-19","-19","","false","false","false","PAST SEASONS","S1","'S1'!A1:T54","470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e","https://docs.google.com/spreadsheets/d/1FfwU3FeJxaG6JzRKp5kkAnRQh_orpTlifnAIyE-6UJA/edit","3","L3","L3","","legacy_9_course_aggregate_s1","preserved from authorized native Google Sheet source snapshot","READY FOR ERA-AWARE REVIEW; NOT IMPORTED"
"1","1","Awkward3Sauce","2","true","PLAYED / NUMERIC","6","1","2","19","-47","5","CBH","-5","-5","","false","false","false","PAST SEASONS","S1","'S1'!A1:T54","470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e","https://docs.google.com/spreadsheets/d/1FfwU3FeJxaG6JzRKp5kkAnRQh_orpTlifnAIyE-6UJA/edit","3","M3","M3","","legacy_9_course_aggregate_s1","preserved from authorized native Google Sheet source snapshot","READY FOR ERA-AWARE REVIEW; NOT IMPORTED"
