season,period_type,division,game_number,course_name,player_a,player_b,source_row_a,source_row_b,source_cell_a,source_cell_b,source_color,played_state,pairing_status,evidence_type,source_workbook,source_tab,source_range,source_sha256,source_era,provenance,notes
1,season,1,1,SSH,Amberwave,,2,,I2,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,1,SSH,Awkward3Sauce,,3,,I3,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,1,SSH,Awesome_Kris,,4,,I4,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,1,SSH,Newsette,,5,,I5,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,1,SSH,BadWolff,,6,,I6,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,1,SSH,Amy_Sweet,,7,,I7,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,1,SSH,Power25,,8,,I8,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,1,SSH,Princess_Krys,,9,,I9,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,1,SSH,KILL_ER_BEE,,10,,I10,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,1,SSH,ChipnPutt,,11,,I11,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
