season,division,source_workbook,source_tab,source_range,source_row,historical_player_name,raw_source_row_json,reason,import_status
5,2,PAST SEASONS,S5,'S5'!A1:CX31,20,Badwolff,"[""1"",""Badwolff"",""-48"",""-2"",""-20"",""-13"",""-26"",""-37"",""-6"",""-20"",""-29"",""1"","""","""",""-21"",""1"","""","""",""-7"",""1"","""","""",""-14"","""",""1"","""",""-6"",""1"","""","""",""-10"",""1"","""","""",""3"",""1"","""","""",""-14"",""1"","""","""","""","""","""","""","""","""","""","""","""",""2"","""",""1""]",MALFORMED SOURCE — score-only block has non-integer/untrustworthy aggregate P/W/D/L/PTS/STROKES fields; do not infer context.,BLOCKED / NEEDS KRYS REVIEW
5,2,PAST SEASONS,S5,'S5'!A1:CX31,21,D3bb13,"[""2"",""D3bb13"",""-45"",""-8"",""-14"",""-8"",""-38"",""-22"",""-24"",""-14"",""-18"",""1"","""","""",""-18"","""",""1"","""",""-14"",""1"","""","""",""-11"",""1"","""","""",""-7"",""1"","""","""",""-6"","""",""1"","""",""-6"",""1"","""","""",""-1"","""",""1"","""","""","""","""","""","""","""","""","""","""",""-3"",""1""]",MALFORMED SOURCE — score-only block has non-integer/untrustworthy aggregate P/W/D/L/PTS/STROKES fields; do not infer context.,BLOCKED / NEEDS KRYS REVIEW
5,2,PAST SEASONS,S5,'S5'!A1:CX31,22,Quesadilla36,"[""3"",""Quesadilla36"",""-55"",""-9"",""-17"",""-14"",""-44"",""-9"",""-27"",""-17"",""-10"","""",""1"","""",""-21"",""1"","""","""",""-11"",""1"","""","""",""-17"",""1"","""","""",""-10"",""1"","""","""",""-1"",""1"","""","""",""-4"","""",""1"","""",""-7"","""",""1"","""","""","""","""","""","""","""","""","""","""",""-1"",""1""]",MALFORMED SOURCE — score-only block has non-integer/untrustworthy aggregate P/W/D/L/PTS/STROKES fields; do not infer context.,BLOCKED / NEEDS KRYS REVIEW
5,2,PAST SEASONS,S5,'S5'!A1:CX31,23,Krys,"[""4"",""Krys"",""-53"",""-5"",""-15"",""-13"",""-30"",""-20"",""-15"",""-15"",""-18"","""",""1"","""",""-20"","""",""1"","""",""-13"","""","""",""1"",""-15"",""1"","""","""",""-8"",""1"","""","""",""-3"",""1"","""","""",""-6"",""1"","""","""",""-4"",""1"","""","""","""","""","""","""","""","""","""","""","""",""0"","""",""1""]",MALFORMED SOURCE — score-only block has non-integer/untrustworthy aggregate P/W/D/L/PTS/STROKES fields; do not infer context.,BLOCKED / NEEDS KRYS REVIEW
5,2,PAST SEASONS,S5,'S5'!A1:CX31,24,Awesome_Kris,"[""5"",""Awesome_Kris"",""-36"",""0"",""-14"",""-9"",""-14"",""-33"",""0"",""-14"",""-24"",""1"","""","""",""-19"",""1"","""","""",""-13"","""","""",""1"",""-10"","""",""1"","""",""2"","""",""1"","""",""-12"",""1"","""","""",""5"",""1"","""","""",""-2"","""",""1"","""","""","""","""","""","""","""","""","""","""",""-5"",""1""]",MALFORMED SOURCE — score-only block has non-integer/untrustworthy aggregate P/W/D/L/PTS/STROKES fields; do not infer context.,BLOCKED / NEEDS KRYS REVIEW
5,2,PAST SEASONS,S5,'S5'!A1:CX31,25,WolfOfMetaStreet,"[""6"",""WolfOfMetaStreet"",""-41"",""-6"",""-20"",""-14"",""-38"",""-7"",""-18"",""-20"",""-8"","""",""1"","""",""-18"",""1"","""","""",""-9"","""","""",""1"",""-17"",""1"","""","""",""-2"","""",""1"","""",""0"","""",""1"","""",""10"","""",""1"","""",""-13"",""1"","""","""","""","""","""","""","""","""","""","""","""",""-6"",""1""]",MALFORMED SOURCE — score-only block has non-integer/untrustworthy aggregate P/W/D/L/PTS/STROKES fields; do not infer context.,BLOCKED / NEEDS KRYS REVIEW
5,2,PAST SEASONS,S5,'S5'!A1:CX31,26,Duddy,"[""7"",""Duddy"",""-48"",""7"",""-6"",""-18"",""15"",""-13"",""21"",""-6"",""-15"","""",""1"","""",""-21"",""1"","""","""",""-9"","""","""",""1"",""-20"",""1"","""","""",""-7"","""",""1"","""",""0"","""",""1"","""",""-4"",""1"","""","""",""0"",""1"","""","""","""","""","""","""","""","""","""","""","""",""13"","""",""1""]",MALFORMED SOURCE — score-only block has non-integer/untrustworthy aggregate P/W/D/L/PTS/STROKES fields; do not infer context.,BLOCKED / NEEDS KRYS REVIEW
5,2,PAST SEASONS,S5,'S5'!A1:CX31,27,Corydoesshots,"[""8"",""Corydoesshots"",""-40"",""-2"",""-12"",""-11"",""-18"",""-20"",""-6"",""-12"",""-21"",""1"","""","""",""-18"","""",""1"","""",""-7"","""",""1"","""",""-12"","""",""1"","""",""-11"",""1"","""","""",""0"",""1"","""","""",""0"","""",""1"","""",""-6"","""","""",""1"","""","""","""","""","""","""","""","""","""",""4"","""",""1""]",MALFORMED SOURCE — score-only block has non-integer/untrustworthy aggregate P/W/D/L/PTS/STROKES fields; do not infer context.,BLOCKED / NEEDS KRYS REVIEW
5,2,PAST SEASONS,S5,'S5'!A1:CX31,28,Wickedshack,"[""9"",""Wickedshack"",""-37"",""-3"",""-10"",""-14"",""-19"",""-23"",""-9"",""-10"",""-24"",""1"","""","""",""-14"","""",""1"","""",""-5"","""",""1"","""",""-16"","""",""1"","""",""-2"","""",""1"","""",""0"","""",""1"","""",""0"","""",""1"","""",""-6"","""","""",""1"","""","""","""","""","""","""","""","""","""",""-5"",""1""]",MALFORMED SOURCE — score-only block has non-integer/untrustworthy aggregate P/W/D/L/PTS/STROKES fields; do not infer context.,BLOCKED / NEEDS KRYS REVIEW
5,2,PAST SEASONS,S5,'S5'!A1:CX31,29,StillSmoking,"[""10"",""StillSmoking"",""5"",""2"",""2"",""2"",""8"",""2"",""6"",""2"","""","""",""1"","""","""","""",""1"","""","""","""",""1"","""","""","""",""1"","""","""","""",""1"","""","""","""",""1"","""","""","""",""1"","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""1""]",MALFORMED SOURCE — score-only block has non-integer/untrustworthy aggregate P/W/D/L/PTS/STROKES fields; do not infer context.,BLOCKED / NEEDS KRYS REVIEW
