❌  KRYS' MATCH PLAY ❌ ,,,,,,,,,,,,,,,,,,,
SEASON 32   *    ENDS DEC 31ST,,,,,,,,,,,,,,,,,,,
,KRYS' MATCH,TOTAL,,,,,,ATLANTIS EASY,,,,LABYRINTH HARD,,,,JOURNEY EASY,,,
12/31,Division 1,P,W,L,D,PTS,HW,W,L,D,HW,W,L,D,HW,W,L,D,HW
1,DERBY_DAZ,3,3,0,0,9,22,1,,,4,1,,,9,1,,,9
2,MULLIGAN,3,1,1,1,4,12,1,,,5,,,1,5,,1,,2
3,PAUL-PPP,2,0,1,1,1,7,,1,,2,,,1,5,,,,0
4,SHAHOOFNA,2,0,2,0,0,4,,1,,1,,1,,3,,,,0
⭕ KRYS' MATCH PLAY ⭕,,,,,,,,,,,,,,,,,,,
SEASON 32   *    ENDS DEC 31ST,,,,,,,,,,,,,,,,,,,
,KRYS' MATCH,TOTAL,,,,,,ATLANTIS EASY,,,,LABYRINTH HARD,,,,JOURNEY EASY,,,
12/31,Division 2,P,W,L,D,PTS,HW,W,L,D,HW,W,L,D,HW,W,L,D,HW
5,DAWN_SOPHIA,2,1,1,0,3,11,,,,0,,1,,5,1,,,6
6,KEIRAROBERT,2,1,1,0,3,11,1,,,8,,,,0,,1,,3
7,CHIPNPUTT,2,1,1,0,3,8,,1,,2,1,,,6,,,,0
8,GUYB,0,0,0,0,0,0,,,,0,,,,0,,,,0
❗  KRYS' MATCH PLAY ❗,,,,,,,,,,,,,,,,,,,
SEASON 32   *    ENDS DEC 31ST,,,,,,,,,,,,,,,,,,,
,KRYS' MATCH,TOTAL,,,,,,ATLANTIS EASY,,,,LABYRINTH HARD,,,,JOURNEY EASY,,,
12/31,Division 3,P,W,L,D,PTS,HW,W,L,D,HW,W,L,D,HW,W,L,D,HW
9,CHICAGOBRY,3,3,0,0,9,26,1,,,10,1,,,9,1,,,7
10,SJ,3,2,1,0,6,16,,1,,3,1,,,6,1,,,7
11,LADYTEA,3,0,2,1,1,16,,,1,6,,1,,4,,1,,6
12,SANDTRAP24,3,0,2,1,1,13,,,1,6,,1,,4,,1,,3
💢  KRYS' MATCH PLAY 💢,,,,,,,,,,,,,,,,,,,
SEASON 32   *    ENDS DEC 31ST,,,,,,,,,,,,,,,,,,,
,KRYS' MATCH,TOTAL,,,,,,ATLANTIS EASY,,,,LABYRINTH HARD,,,,JOURNEY EASY,,,
12/31,Division 4,P,W,L,D,PTS,HW,W,L,D,HW,W,L,D,HW,W,L,D,HW
13,L7JAZZ,3,2,1,0,6,19,1,,,7,1,,,8,,1,,4
14,KD,3,1,0,2,5,19,,,1,7,,,1,6,1,,,6
15,RAY-OF-SUNSHINE,3,0,1,2,2,15,,,1,7,,1,,2,,,1,6
16,WENDYW,3,0,1,2,2,15,,1,,3,,,1,6,,,1,6
,,,,,,,,,,,,,,,,,,,
📛 KRYS' MATCH PLAY 📛,,,,,,,,,,,,,,,,,,,
SEASON 32   *    ENDS DEC 31ST,,,,,,,,,,,,,,,,,,,
,KRYS' MATCH,TOTAL,,,,,,ATLANTIS EASY,,,,LABYRINTH HARD,,,,JOURNEY EASY,,,
12/31,Division 5,P,W,L,D,PTS,HW,W,L,D,HW,W,L,D,HW,W,L,D,HW
17,1,0,0,0,0,0,0,,,,,,,,,,,,
18,2,0,0,0,0,0,0,,,,,,,,,,,,
19,3,0,0,0,0,0,0,,,,,,,,,,,,
20,4,0,0,0,0,0,0,,,,,,,,,,,,
 🛑 KRYS' MATCH PLAY 🛑,,,,,,,,,,,,,,,,,,,
SEASON 32   *    ENDS DEC 31ST,,,,,,,,,,,,,,,,,,,
,KRYS' MATCH,TOTAL,,,,,,ATLANTIS EASY,,,,LABYRINTH HARD,,,,JOURNEY EASY,,,
12/31,Division 6,P,W,L,D,PTS,HW,W,L,D,HW,W,L,D,HW,W,L,D,HW
21,1,0,0,0,0,0,0,,,,,,,,,,,,
22,2,0,0,0,0,0,0,,,,,,,,,,,,
23,3,0,0,0,0,0,0,,,,,,,,,,,,
24,4,0,0,0,0,0,0,,,,,,,,,,,,
🈴 KRYS' MATCH PLAY 🈴 ,,,,,,,,,,,,,,,,,,,
SEASON 32   *    ENDS DEC 31ST,,,,,,,,,,,,,,,,,,,
,KRYS' MATCH,TOTAL,,,,,,ATLANTIS EASY,,,,LABYRINTH HARD,,,,JOURNEY EASY,,,
12/31,Division 7,P,W,L,D,PTS,HW,W,L,D,HW,W,L,D,HW,W,L,D,HW
25,1,0,0,0,0,0,0,,,,,,,,,,,,
26,2,0,0,0,0,0,0,,,,,,,,,,,,
27,3,0,0,0,0,0,0,,,,,,,,,,,,
28,4,0,0,0,0,0,0,,,,,,,,,,,,
